Year,Regional Host,Game Number,Home Team,Visiting Team,Home Score,Visiting Score,Innings
2021,Oklahoma,1,Wichita St.,Texas A&M,9,7,7
2021,Oklahoma,2,Oklahoma,Morgan St.,19,0,5
2021,Oklahoma,3,Oklahoma,Wichita St.,7,5,7
2021,Oklahoma,4,Texas A&M,Morgan St.,10,3,7
2021,Oklahoma,5,Texas A&M,Wichita St.,6,9,7
2021,Oklahoma,6,Wichita St.,Oklahoma,7,24,7
2021,Washington,1,Michigan,Seattle U,2,0,7
2021,Washington,2,Washington,Portland St.,3,0,7
2021,Washington,3,Washington,Michigan,1,2,7
2021,Washington,4,Seattle U,Portland St.,6,5,7
2021,Washington,5,Seattle U,Washington,0,8,5
2021,Washington,6,Michigan,Washington,0,2,7
2021,Washington,7,Washington,Michigan,10,5,7
2021,Tenneessee,1,Liberty,James Madison,3,4,10
2021,Tenneessee,2,Tennessee,Eastern Ky.,8,1,7
2021,Tenneessee,3,James Madison,Tennessee,3,1,7
2021,Tenneessee,4,Eastern Ky.,Liberty,1,5,7
2021,Tenneessee,5,Tennessee,Liberty,4,6,7
2021,Tenneessee,6,Liberty,James Madison,5,8,7
2021,Missouri,1,Iowa St.,UNI,0,8,5
2021,Missouri,2,Missouri,UIC,8,0,6
2021,Missouri,3,UNI,Missouri,0,4,7
2021,Missouri,4,UIC,Iowa St.,0,4,7
2021,Missouri,5,UNI,Iowa St.,3,4,7
2021,Missouri,6,Iowa St.,Missouri,0,5,7
2021,Oklahoma St.,1,Oklahoma St.,Campbell,10,0,5
2021,Oklahoma St.,2,Mississippi St.,Boston U.,3,1,7
2021,Oklahoma St.,3,Oklahoma St.,Mississippi St.,9,3,7
2021,Oklahoma St.,4,Boston U.,Campbell,1,7,7
2021,Oklahoma St.,5,Campbell,Mississippi St.,0,12,5
2021,Oklahoma St.,6,Mississippi St.,Oklahoma St.,2,10,5
2021,Texas,1,Texas,Saint Francis (PA),12,0,5
2021,Texas,2,Oregon,Texas St.,1,5,7
2021,Texas,3,Texas St.,Texas,0,6,7
2021,Texas,4,Saint Francis (PA),Oregon,0,7,7
2021,Texas,5,Texas St.,Oregon,0,2,7
2021,Texas,6,Oregon,Texas,3,0,8
2021,Texas,7,Texas,Oregon,1,0,7
2021,Duke,1,Duke,UNC Greensboro,2,0,7
2021,Duke,2,Georgia,Western Ky.,11,3,6
2021,Duke,3,Duke,Georgia,1,0,7
2021,Duke,4,Western Ky.,UNC Greensboro,8,4,7
2021,Duke,5,Western Ky.,Duke,0,7,12
2021,Duke,6,Georgia,Duke,10,9,7
2021,Florida,1,Florida,South Fla.,1,0,7
2021,Florida,2,Baylor,South Alabama,0,2,7
2021,Florida,3,South Alabama,Florida,0,10,7
2021,Florida,4,South Fla.,Baylor,5,0,7
2021,Florida,5,South Alabama,South Fla.,0,1,7
2021,Florida,6,South Fla.,Florida,0,8,7
2021,Alabama,1,Clemson,Troy,8,0,5
2021,Alabama,2,Alabama,Alabama St.,9,0,6
2021,Alabama,3,Alabama,Clemson,6,0,7
2021,Alabama,4,Troy,Alabama St.,8,0,6
2021,Alabama,5,Troy,Clemson,2,4,7
2021,Alabama,6,Clemson,Alabama,0,5,7
2021,Kentucky,1,Kentucky,Northwestern,3,2,7
2021,Kentucky,2,Notre Dame,Miami (OH),3,2,7
2021,Kentucky,3,Kentucky,Notre Dame,3,12,5
2021,Kentucky,4,Miami (OH),Northwestern,1,7,7
2021,Kentucky,5,Northwestern,Kentucky,2,7,7
2021,Kentucky,6,Notre Dame,Kentucky,0,7,7
2021,Kentucky,7,Kentucky,Notre Dame,4,0,7
2021,Arizona,1,Ole Miss,Villanova,5,1,7
2021,Arizona,2,Arizona,UMBC,7,0,7
2021,Arizona,3,Arizona,Ole Miss,12,6,7
2021,Arizona,4,Villanova,UMBC,4,3,7
2021,Arizona,5,Villanova,Ole Miss,2,6,7
2021,Arizona,6,Ole Miss,Arizona,6,12,7
2021,Arkansas,1,Arkansas,Manhattan,8,0,5
2021,Arkansas,2,Stanford,South Dakota St.,1,7,7
2021,Arkansas,3,South Dakota St.,Arkansas,0,4,7
2021,Arkansas,4,Manhattan,Stanford,2,11,7
2021,Arkansas,5,South Dakota St.,Stanford,1,2,10
2021,Arkansas,6,Stanford,Arkansas,3,7,7
2021,Florida St.,1,Auburn,UCF,4,5,7
2021,Florida St.,2,Florida St.,Kennesaw St.,6,2,7
2021,Florida St.,3,UCF,Florida St.,0,3,7
2021,Florida St.,4,Kennesaw St.,Auburn,1,0,7
2021,Florida St.,5,UCF,Kennesaw St.,2,0,7
2021,Florida St.,6,Florida St.,UCF,2,0,7
2021,Arizona St.,1,Virginia Tech,BYU,5,2,7
2021,Arizona St.,2,Arizona St.,Southern Ill.,7,4,7
2021,Arizona St.,3,Arizona St.,Virginia Tech,2,8,7
2021,Arizona St.,4,BYU,Southern Ill.,7,2,7
2021,Arizona St.,5,BYU,Arizona St.,9,8,7
2021,Arizona St.,6,Virginia Tech,BYU,11,3,5
2021,UCLA,1,Minnesota,Fresno St.,0,3,7
2021,UCLA,2,UCLA,Long Beach St.,8,0,5
2021,UCLA,3,Fresno St.,UCLA,4,5,8
2021,UCLA,4,Long Beach St.,Minnesota,0,11,7
2021,UCLA,5,Fresno St.,Minnesota,3,6,7
2021,UCLA,6,Minnesota,UCLA,1,2,7
