Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
A&M-Corpus Christi,48,12,36,0,1201,258,19,2,9,97,31,17,,,,,310,236,171,3.86,,930,370,67,13,No,No,Southland,1,0
Abilene Christian,52,32,20,0,1413,402,54,18,36,251,56,14,130,37,9,34,354,152,115,2.27,11,1062,442,61,10,No,No,Southland,1,0
Akron,57,27,30,0,1411,376,70,6,31,208,139,46,,,,,379.2,225,169,3.12,,1139,451,82,19,No,No,MAC,1,0
Alabama,58,42,16,0,1455,413,50,12,35,255,92,17,237,25,14,38,390.2,108,87,1.56,,1172,341,37,15,At-large,No,SEC,13,8
Alabama A&M,48,17,31,0,1232,321,44,11,13,182,32,9,,,,,303.1,276,204,4.71,14,913,320,85,12,No,No,SWAC,1,0
Alabama St.,54,21,33,0,1443,457,62,22,32,275,71,20,,,,,338.2,343,257,5.31,,1016,522,94,22,No,No,SWAC,1,0
Albany (NY),42,26,16,0,1102,327,56,10,34,221,58,15,,,,,272.2,194,143,3.67,14,818,274,60,5,Auto,No,America East,1,0
Alcorn,47,16,31,0,1244,363,64,11,24,220,30,5,,,,,288.2,266,208,5.04,,866,296,74,14,No,No,SWAC,1,0
Appalachian St.,48,14,34,0,1208,270,58,6,25,148,14,4,,,,,309.1,242,175,3.96,16,928,373,82,9,No,No,Sun Belt,2,0
Arizona,55,48,7,0,1440,484,82,8,88,404,17,3,223,34,18,20,348.1,85,67,1.35,17,1045,370,35,13,Auto,No,Pac-12,8,5
Arizona St.,50,30,20,0,1277,351,50,10,58,252,20,6,,,,,324.1,152,108,2.33,,973,383,44,16,At-large,No,Pac-12,8,5
Ark.-Pine Bluff,44,20,24,0,1153,340,50,20,15,226,51,6,,,,,264.2,266,205,5.42,,794,254,73,9,No,No,SWAC,1,0
Arkansas,53,31,22,0,1375,392,65,8,57,266,17,3,,,,,332.1,171,131,2.76,,997,513,50,15,At-large,No,SEC,13,8
Army West Point,57,36,21,0,1502,410,67,8,15,245,50,16,,,,,378,200,153,2.83,,1131,576,72,18,No,No,Patriot,1,0
Auburn,56,46,10,0,1431,389,70,12,47,309,25,4,269,40,13,15,371.2,113,87,1.64,13,1115,527,53,45,At-large,No,SEC,13,8
Austin Peay,48,17,31,0,1194,273,52,5,39,188,44,9,,,,,304.1,245,199,4.58,,913,331,63,19,No,No,OVC,1,0
Ball St.,58,30,28,0,1484,379,81,3,43,245,51,7,,,,,372.1,185,159,2.99,,1117,447,57,16,No,No,MAC,1,0
Baylor,55,43,12,0,1494,490,55,9,34,260,105,32,135,25,12,41,380.2,119,92,1.69,,1141,335,47,9,At-large,Yes,Big 12,4,2
