Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Incarnate Word,51,18,33,0,1281,347,45,3,19,175,43,7,118,25,9,62,317.1,276,233,5.14,23,952,377,73,10,No,No,Southland,1,0
Indiana,54,29,25,0,1408,383,69,2,26,235,61,16,,,,,358.1,239,181,3.54,,1075,397,64,17,No,No,Big Ten,6,1
Indiana St.,51,16,35,0,1288,349,37,10,12,202,44,19,,,,,324.1,333,261,5.63,,973,448,51,29,No,No,MVC,1,0
Iona,46,13,33,0,1249,339,65,2,27,164,19,3,,,,,292.2,243,195,4.66,,878,355,47,10,No,No,MAAC,1,0
Iowa,52,13,39,0,1375,343,57,5,28,198,51,8,,,,,332.2,291,234,4.92,,998,421,79,15,No,No,Big Ten,6,1
Iowa St.,55,20,35,0,1427,402,40,4,32,233,42,9,,,,,347,340,286,5.77,,1041,371,74,15,No,No,Big 12,4,1
IUPUI,55,20,35,0,1498,393,68,7,41,201,36,9,,,,,373.2,278,219,4.1,,1121,462,61,14,No,No,Summit,1,0
Jackson St.,36,8,28,0,986,272,47,11,7,168,45,13,,,,,232.2,271,196,5.9,,698,280,85,12,No,No,SWAC,1,0
Jacksonville,58,28,30,0,1465,351,47,4,47,228,53,14,,,,,385,307,231,4.2,,1155,623,77,20,No,No,Atlantic Sun,1,0
Jacksonville St.,56,41,15,0,1501,466,89,9,55,295,22,8,,,,,369.1,178,142,2.69,,1108,491,56,9,Auto,No,OVC,1,0
James Madison,50,46,4,0,1312,388,68,10,47,293,72,19,,,,,337.2,76,55,1.14,,1013,330,41,12,Auto,No,CAA,1,1
Kansas,51,31,20,0,1284,364,65,1,49,266,11,4,,,,,328,146,136,2.9,,984,354,27,11,No,No,Big 12,4,1
Kennesaw St.,58,30,28,0,1464,354,59,15,18,189,131,23,,,,,383,206,158,2.89,,1149,509,84,19,No,No,Atlantic Sun,1,0
Kent St.,59,37,22,0,1537,408,64,4,55,268,14,6,,,,,385.1,201,157,2.85,,1156,478,67,20,No,No,MAC,1,0
Kentucky,55,43,12,0,1358,370,59,7,41,264,59,17,,,,,366.1,119,91,1.74,,1099,455,53,12,At-large,No,SEC,11,8
La Salle,44,16,28,0,1094,257,38,3,33,163,24,7,,,,,277,247,194,4.9,15,831,356,68,4,No,No,Atlantic 10,1,0
La.-Monroe,58,24,34,0,1450,387,56,11,36,228,122,26,,,,,369.2,263,210,3.98,,1109,334,68,13,No,No,Sun Belt,2,1
Lafayette,45,13,32,0,1194,293,58,4,10,127,35,5,,,,,291,220,187,4.5,,873,374,42,13,No,No,Patriot,1,0
Lamar University,57,35,22,0,1482,434,88,11,16,293,93,24,,,,,377.1,239,158,2.93,,1132,612,109,21,No,No,Southland,1,0
Lehigh,52,36,16,0,1410,417,78,10,13,251,55,18,,,,,349.1,149,119,2.38,,1048,477,48,11,No,No,Patriot,1,0
Liberty,59,31,28,0,1495,397,68,13,29,249,72,23,,,,,389.1,219,167,3,,1168,363,83,14,No,No,Big South,1,0
Lipscomb,55,26,29,0,1423,367,52,10,31,215,74,15,,,,,367.2,195,149,2.84,,1103,349,50,7,No,No,Atlantic Sun,1,0
LIU Brooklyn,55,30,25,0,1444,407,66,7,27,216,34,11,,,,,358,237,181,3.54,,1074,547,61,16,Auto,No,Northeast,1,0
LMU (CA),53,32,21,0,1403,433,106,2,60,267,28,7,,,,,351.1,216,178,3.55,,1054,440,53,18,No,No,WCC,1,0
Long Beach St.,52,32,20,0,1394,397,59,3,37,241,11,13,,,,,349.2,174,137,2.74,,1049,256,47,10,At-large,No,Big West,2,0
Longwood,56,38,18,0,1444,432,66,13,43,277,83,23,,,,,371.1,146,115,2.17,,1113,325,52,15,Auto,No,Big South,1,0
Louisiana,50,43,7,0,1281,433,63,7,98,399,51,7,214,55,8,4,304,98,76,1.75,16,912,299,36,7,Auto,No,Sun Belt,2,1
Louisiana Tech,54,32,22,0,1445,414,63,10,64,315,71,18,,,,,361.2,218,164,3.17,,1085,526,66,29,No,No,C-USA,1,0
Louisville,50,35,15,0,1346,425,60,15,35,298,43,7,,,,,324.2,139,102,2.2,,974,436,60,14,At-large,No,ACC,4,1
Loyola Chicago,49,21,28,0,1267,347,59,9,24,185,21,5,,,,,312,209,166,3.72,,936,460,59,20,No,No,MVC,1,0
LSU,60,45,15,0,1568,503,85,17,46,369,55,15,280,35,17,28,395,154,107,1.9,,1185,443,73,13,At-large,Yes,SEC,11,8
Maine,47,28,19,0,1315,419,76,12,31,262,42,9,,,,,302.2,156,129,2.98,,908,329,53,6,Auto,No,America East,1,0
Manhattan,51,30,21,0,1328,359,54,8,30,258,73,9,,,,,336.2,194,150,3.12,,1010,446,61,16,No,No,MAAC,1,0
Marist,56,45,11,0,1538,507,93,12,53,335,154,25,,,,,373,168,134,2.51,,1119,469,47,18,Auto,No,MAAC,1,0
Marshall,56,30,26,0,1470,456,54,10,28,253,154,34,,,,,365,221,177,3.39,,1095,365,69,15,No,No,C-USA,1,0
Maryland,52,12,40,0,1303,360,62,9,18,181,25,7,,,,,317.1,405,324,7.15,,952,448,72,21,No,No,Big Ten,6,1
Massachusetts,50,26,24,0,1296,358,60,8,34,188,29,5,,,,,331,179,138,2.92,16,988,524,69,14,No,No,Atlantic 10,1,0
McNeese,54,42,12,0,1429,441,87,11,40,342,124,33,189,74,18,25,359.1,131,108,2.1,,1077,335,55,12,Auto,No,Southland,1,0
Memphis,57,26,31,0,1465,405,47,2,20,249,89,20,,,,,369.1,276,212,4.02,,1108,403,76,11,No,No,AAC,3,0
Mercer,58,23,35,0,1538,433,55,8,34,270,76,13,,,,,376,296,238,4.43,,1127,388,77,21,No,No,Southern,1,0
Miami (OH),55,34,21,0,1491,423,79,10,56,299,18,6,,,,,375,212,177,3.3,,1125,450,39,10,Auto,No,MAC,1,0
Michigan,51,46,5,0,1314,467,83,9,80,429,58,11,241,49,18,23,313.1,114,95,2.12,,940,330,30,9,At-large,Yes,Big Ten,6,1
Michigan St.,55,27,28,0,1441,417,68,17,41,265,47,18,,,,,360.2,271,219,4.25,,1082,430,74,15,No,No,Big Ten,6,1
Middle Tenn.,54,23,31,0,1462,376,52,9,22,237,80,13,,,,,355.2,263,218,4.29,,1067,486,65,24,No,No,C-USA,1,0
Minnesota,53,41,12,0,1428,458,85,9,65,357,53,12,217,46,9,13,339.1,163,120,2.48,,1018,314,51,12,Auto,No,Big Ten,6,1
Mississippi St.,57,26,31,0,1476,365,52,12,18,206,62,10,,,,,394.2,200,162,2.87,,1184,506,65,18,No,No,SEC,11,8
Mississippi Val.,44,15,29,0,1147,302,49,11,24,217,32,7,,,,,274.1,325,240,6.12,,823,397,106,10,No,No,SWAC,1,0
Missouri,53,39,14,0,1452,471,59,4,67,357,153,15,210,29,19,15,346.1,200,157,3.17,,1039,448,49,22,At-large,No,SEC,11,8
Missouri St.,52,22,30,0,1350,352,48,7,29,195,48,17,,,,,344,220,185,3.76,,1032,371,39,18,No,No,MVC,1,0
Monmouth,50,29,21,0,1416,422,73,6,41,279,62,12,,,,,333.1,167,121,2.54,,1000,470,50,7,No,No,MAAC,1,0
Montana,56,29,27,0,1599,521,77,8,32,322,47,8,,,,,365.2,317,275,5.26,,1097,359,55,11,No,No,Big Sky,1,0
Morehead St.,53,26,27,0,1356,357,56,6,35,203,49,7,,,,,349,223,176,3.53,,1047,515,62,17,No,No,OVC,1,0
Morgan St.,41,13,28,0,1003,237,34,7,13,148,100,17,,,,,262.1,242,194,5.18,10,787,291,76,12,No,No,MEAC,1,0
Mt. St. Mary's,50,15,35,0,1278,369,63,5,38,200,39,15,,,,,294.2,366,269,6.39,,884,388,71,13,No,No,Northeast,1,0
Murray St.,55,24,31,0,1485,398,71,9,20,193,71,12,,,,,366.1,193,153,2.92,,1099,636,50,38,No,No,OVC,1,0
N.C. A&T,49,17,32,0,1252,341,53,9,19,203,37,13,,,,,310.2,288,226,5.09,,932,389,67,13,No,No,MEAC,1,0
N.C. Central,49,7,42,0,1188,267,45,2,15,137,24,8,,,,,295.1,318,237,5.62,,886,376,90,12,No,No,MEAC,1,0
NC State,56,23,33,0,1468,397,50,4,72,281,43,6,,,,,364,340,263,5.06,,1092,436,69,23,No,No,ACC,4,1
Nebraska,52,33,19,0,1450,435,75,4,64,316,40,9,,,,,353.1,235,195,3.86,,1060,500,62,25,At-large,No,Big Ten,6,1
Nevada,47,32,15,0,1301,406,70,7,55,244,13,4,,,,,314.1,200,149,3.32,,943,319,66,13,No,No,MWC,1,0
New Mexico,50,23,27,0,1361,390,67,8,38,235,20,5,,,,,329.2,274,226,4.8,,989,466,65,17,No,No,MWC,1,0
New Mexico St.,59,38,21,0,1523,520,77,15,48,351,104,27,214,26,20,10,363.2,212,149,2.87,18,1091,440,71,29,No,No,WAC,1,0
Niagara,48,10,38,0,1230,303,49,1,18,126,9,5,,,,,300.1,270,208,4.85,,901,375,73,7,No,No,MAAC,1,0
Nicholls St.,56,39,17,0,1561,454,60,14,18,253,40,9,,,,,382,133,103,1.89,,1146,482,55,16,No,No,Southland,1,0
Norfolk St.,43,18,25,0,1128,297,73,5,22,226,19,3,,,,,275.1,281,200,5.08,,826,332,86,14,No,No,MEAC,1,0
North Carolina,54,31,23,0,1417,415,64,8,56,282,101,21,,,,,357,269,217,4.25,,1071,447,71,22,At-large,No,ACC,4,1
North Dakota,54,17,37,0,1405,355,62,4,26,186,31,12,,,,,344,296,234,4.76,,1032,509,74,20,No,No,Summit,1,0
North Dakota St.,51,38,13,0,1365,440,82,8,38,325,106,14,182,37,15,18,327.1,161,135,2.89,,982,307,39,16,Auto,No,Summit,1,0
North Florida,49,20,29,0,1272,348,65,6,11,178,43,8,,,,,317.1,242,187,4.13,,952,413,54,15,No,No,Atlantic Sun,1,0
North Texas,55,22,33,0,1436,400,64,5,41,217,81,20,,,,,360.2,254,222,4.31,,1082,384,40,12,No,No,C-USA,1,0
Northern Colo.,42,9,33,0,1079,306,41,18,20,165,48,13,,,,,261,329,257,6.89,,783,434,65,20,No,No,Big Sky,1,0
Northern Ill.,55,35,20,0,1448,424,68,15,59,306,62,15,,,,,361,190,142,2.75,,1082,510,79,28,No,No,MAC,1,0
Northern Ky.,53,13,40,0,1311,305,55,8,26,166,42,9,116,26,3,61,342.1,330,236,4.83,26,1027,401,84,12,No,No,Horizon,1,0
Northwestern,52,26,26,0,1375,388,61,5,49,276,73,10,,,,,341.2,249,192,3.93,,1025,416,65,29,At-large,No,Big Ten,6,1
Northwestern St.,52,27,25,0,1372,384,68,4,56,240,16,3,,,,,347,228,182,3.67,,1041,398,70,9,No,No,Southland,1,0
Notre Dame,52,41,11,0,1450,509,80,11,38,364,94,12,134,31,18,46,343.1,187,164,3.34,14,1030,333,37,15,At-large,No,ACC,4,1
Oakland,44,13,31,0,1169,284,51,7,16,131,40,5,,,,,295,205,125,2.97,17,885,398,76,8,No,No,Horizon,1,0
Ohio,60,37,23,0,1619,408,52,2,26,207,103,32,,,,,427.1,159,123,2.01,,1279,316,54,8,No,No,MAC,1,0
Ohio St.,52,33,18,1,1413,419,78,11,60,297,47,10,,,,,346.1,208,165,3.33,,1039,354,40,13,At-large,No,Big Ten,6,1
Oklahoma,54,47,7,0,1500,539,92,11,59,372,68,18,179,34,13,19,351,122,108,2.15,,1053,314,22,15,Auto,Yes,Big 12,4,1
Oklahoma St.,53,29,24,0,1379,420,74,8,52,320,70,12,219,45,14,33,338,284,235,4.87,,1014,470,56,14,At-large,No,Big 12,4,1
Ole Miss,59,39,20,0,1503,437,47,10,25,264,125,29,,,,,389.1,195,180,3.24,,1168,472,39,15,At-large,No,SEC,11,8
Omaha,59,30,29,0,1573,464,102,14,83,377,31,7,,,,,365,351,281,5.39,,1095,521,75,22,No,No,Summit,1,0
Oregon,52,44,8,0,1366,484,88,8,92,409,45,14,181,37,16,22,331.2,140,111,2.34,,995,341,40,22,Auto,No,Pac-12,8,3
Oregon St.,49,30,18,1,1327,411,74,12,35,260,50,10,,,,,319.2,186,148,3.24,18,959,354,50,12,At-large,No,Pac-12,8,3
Pacific,48,20,28,0,1209,323,50,6,29,179,24,6,,,,,305.2,220,180,4.12,,917,523,47,25,No,No,WCC,1,0
Penn,44,23,21,0,1172,346,44,12,20,178,53,17,,,,,286.2,200,152,3.71,,860,297,64,5,No,No,Ivy,1,0
Penn St.,54,30,24,0,1490,468,75,8,36,289,34,0,,,,,355,246,204,4.02,,1065,484,49,18,No,No,Big Ten,6,1
Pittsburgh,52,31,21,0,1353,429,83,1,75,327,30,8,202,30,14,33,330.1,228,182,3.86,9,991,514,62,23,No,No,ACC,4,1
Portland St.,49,14,35,0,1267,360,54,2,17,181,35,15,,,,,299,347,272,6.37,,897,292,71,10,No,No,Big Sky,1,0
Prairie View,38,10,28,0,962,263,37,2,23,168,45,7,,,,,224.2,239,193,6.01,,674,303,51,5,No,No,SWAC,1,0
Presbyterian,53,25,28,0,1353,320,58,2,41,188,39,6,,,,,345.2,202,172,3.48,,1037,375,55,16,No,No,Big South,1,0
Princeton,49,23,26,0,1337,367,55,3,29,204,42,10,,,,,333.1,207,176,3.7,,1000,382,59,10,Auto,No,Ivy,1,0
Providence,49,21,28,0,1269,360,63,8,21,219,26,11,,,,,315.1,245,187,4.15,,946,450,67,20,No,No,Big East,1,0
Purdue,55,27,28,0,1416,342,56,14,25,200,80,15,,,,,368.1,209,160,3.04,,1105,325,70,23,No,No,Big Ten,6,1
Purdue Fort Wayne,51,11,40,0,1253,321,43,6,17,174,28,10,,,,,313.1,377,279,6.23,,940,394,95,6,No,No,Summit,1,0
Quinnipiac,57,28,29,0,1506,362,58,8,14,169,38,7,,,,,384.2,200,131,2.38,13,1154,514,94,10,No,No,MAAC,1,0
Radford,61,35,26,0,1610,410,77,14,42,257,84,18,,,,,412.1,233,171,2.9,18,1237,612,72,18,No,No,Big South,1,0
Rhode Island,44,12,32,0,1127,260,46,9,24,142,16,11,,,,,280,295,220,5.5,,840,327,79,14,No,No,Atlantic 10,1,0
Rider,50,8,42,0,1283,304,60,4,23,148,31,9,,,,,310.2,370,305,6.87,,932,396,87,22,No,No,MAAC,1,0
Robert Morris,56,23,33,0,1484,380,61,6,30,176,19,11,,,,,369.2,290,203,3.84,,1106,544,90,10,No,No,Northeast,1,0
Rutgers,57,24,33,0,1497,388,46,5,26,220,45,13,,,,,366.1,297,259,4.95,,1099,474,53,21,No,No,Big Ten,6,1
Sacramento St.,50,28,22,0,1355,411,71,8,15,227,32,5,,,,,325.1,201,163,3.51,,976,412,45,20,No,No,Big Sky,1,0
Sacred Heart,49,13,34,2,1300,296,64,2,16,125,18,4,,,,,328,195,151,3.22,,984,259,52,10,No,No,Northeast,1,0
Saint Francis (PA),58,34,24,0,1530,444,85,9,81,370,51,13,244,79,17,11,369.2,224,185,3.5,,1109,431,76,13,No,No,Northeast,1,0
Saint Joseph's,52,25,26,1,1408,380,72,1,45,207,49,7,,,,,350,166,117,2.34,,1050,455,71,13,No,No,Atlantic 10,1,0
Saint Louis,51,25,26,0,1334,356,67,6,42,234,54,10,,,,,330.2,234,180,3.81,,992,476,59,22,No,No,Atlantic 10,1,0
Saint Mary's (CA),48,20,27,1,1239,310,54,8,14,145,36,10,,,,,321,202,152,3.31,16,963,408,50,10,No,No,WCC,1,0
Saint Peter's,43,1,42,0,980,195,38,3,15,84,17,10,,,,,241,374,305,8.86,,723,265,77,12,No,No,MAAC,1,0
Sam Houston St.,54,21,33,0,1387,397,66,9,27,224,24,11,,,,,335.1,306,243,5.07,,1006,404,73,16,No,No,Southland,1,0
