Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
UC Riverside,55,32,22,1,1430,428,66,12,19,232,84,14,,,,,366,197,166,3.17,,1098,433,46,21,No,No,Big West,2,0
UC Santa Barbara,56,28,28,0,1522,459,59,5,25,246,33,11,,,,,373,258,183,3.43,,1119,377,76,17,No,No,Big West,2,0
UCF,56,36,20,0,1404,368,53,9,22,221,53,20,,,,,378.1,136,113,2.09,,1135,359,35,16,At-large,No,AAC,3,0
UCLA,49,35,13,1,1267,418,65,10,56,327,37,11,195,34,14,38,317,202,170,3.75,,951,426,43,38,At-large,Yes,Pac-12,8,3
UConn,52,19,33,0,1320,331,46,5,23,188,27,11,,,,,345.1,204,163,3.3,,1036,488,51,20,No,No,AAC,3,0
UIC,51,33,18,0,1391,398,56,15,16,229,87,13,,,,,349.1,156,113,2.26,,1048,457,52,9,No,No,Horizon,1,0
UMass Lowell,50,11,39,0,1257,276,47,2,13,123,24,10,133,23,7,17,314.2,263,199,4.43,28,944,374,80,15,No,No,America East,1,0
UMBC,56,25,31,0,1417,387,73,5,31,217,32,8,,,,,358,259,216,4.22,12,1074,498,76,21,No,No,America East,1,0
UMES,41,11,30,0,1091,286,35,12,5,151,37,15,,,,,256.2,250,217,5.92,18,770,225,61,9,No,No,MEAC,1,0
UMKC,50,24,26,0,1382,399,56,6,28,260,56,13,,,,,332,251,204,4.3,,996,387,70,19,No,No,WAC,1,0
UNC Greensboro,59,33,26,0,1549,464,83,6,61,310,22,3,,,,,377.1,256,196,3.64,,1132,510,69,19,No,No,Southern,1,0
UNCW,50,29,21,0,1347,331,57,5,17,174,71,19,,,,,370,169,126,2.38,,1110,515,54,9,No,No,CAA,1,1
UNI,57,38,19,0,1494,448,81,3,58,312,62,15,223,51,11,21,376.2,189,144,2.68,,1130,414,70,15,No,No,MVC,1,0
UNLV,55,24,31,0,1460,435,64,11,29,269,68,12,,,,,359,295,230,4.48,,1076,558,88,24,No,No,MWC,1,0
USC Upstate,55,42,13,0,1455,454,70,14,59,319,121,20,,,,,363.2,154,131,2.52,,1091,304,42,13,Auto,No,Atlantic Sun,1,0
UT Arlington,49,29,20,0,1268,369,66,10,11,232,60,7,,,,,320.2,215,183,3.99,,962,414,47,16,No,No,Sun Belt,2,1
UT Martin,56,30,26,0,1441,372,65,5,33,231,125,26,,,,,377.1,189,151,2.8,,1132,455,52,15,No,No,OVC,1,0
Utah,51,32,19,0,1312,401,69,12,36,272,41,13,,,,,321.2,166,132,2.87,,965,463,47,35,At-large,No,Pac-12,8,3
Utah St.,51,26,25,0,1425,434,86,14,50,281,64,5,,,,,336,275,239,4.98,,1004,386,59,17,No,No,MWC,1,0
Utah Valley,52,9,43,0,1335,330,58,6,31,200,50,10,,,,,326,362,252,5.41,16,978,550,122,21,No,No,WAC,1,0
UTEP,55,23,32,0,1469,451,85,5,51,249,9,6,,,,,340.1,325,259,5.33,,1021,533,61,30,No,No,C-USA,1,0
UTSA,53,20,33,0,1391,345,47,5,40,174,36,10,,,,,358.1,242,176,3.44,,1075,466,77,11,No,No,C-USA,1,0
Valparaiso,50,18,32,0,1315,345,46,4,33,182,33,3,,,,,315.1,278,244,5.42,,946,295,47,10,Auto,No,Horizon,1,0
Villanova,50,32,18,0,1394,432,73,8,30,268,44,12,,,,,334,194,160,3.35,,1002,342,39,14,No,No,Big East,1,0
Virginia,51,18,33,0,1361,355,69,5,48,218,56,15,,,,,335.1,291,200,4.17,,1006,468,104,17,No,No,ACC,4,1
Virginia Tech,57,29,28,0,1405,358,71,3,44,239,37,9,,,,,358.1,234,177,3.46,16,1075,501,66,17,No,No,ACC,4,1
Wagner,49,20,29,0,1326,360,61,2,25,187,37,10,,,,,321.2,210,163,3.55,,965,432,62,6,No,No,Northeast,1,0
Washington,49,36,13,0,1358,456,85,4,70,362,30,8,208,30,11,40,322.2,182,147,3.19,,968,349,42,23,At-large,No,Pac-12,8,3
Weber St.,54,37,17,0,1493,475,74,11,39,303,103,6,,,,,358.2,183,144,2.81,,1076,428,47,26,Auto,No,Big Sky,1,0
Western Caro.,57,33,24,0,1511,414,59,7,55,283,40,10,,,,,374.2,242,202,3.77,,1124,487,49,23,No,No,Southern,1,0
Western Ill.,48,16,32,0,1287,336,57,10,17,160,21,7,,,,,304.2,257,221,5.08,,914,267,58,9,No,No,Summit,1,0
Western Ky.,47,17,30,0,1200,301,50,2,27,157,19,6,,,,,316.1,267,201,4.45,,949,393,83,13,No,No,C-USA,1,0
Western Mich.,50,22,28,0,1302,347,57,6,33,170,27,5,,,,,322.2,206,159,3.45,,968,483,74,11,No,No,MAC,1,0
Wichita St.,54,35,19,0,1432,445,73,3,58,318,51,16,,,,,347.2,244,215,4.33,,1043,465,47,28,Auto,No,MVC,1,0
Winthrop,58,15,43,0,1456,351,53,8,21,201,39,14,,,,,360.2,361,288,5.59,,1080,401,74,16,No,No,Big South,1,0
Wisconsin,53,28,24,1,1378,383,60,7,33,265,59,19,,,,,353.2,209,163,3.23,,1061,398,59,16,No,No,Big Ten,6,1
Wright St.,60,37,23,0,1619,453,69,20,24,263,73,17,,,,,408.1,183,132,2.26,16,1223,525,79,32,No,No,Horizon,1,0
Yale,50,18,31,1,1354,317,54,5,3,132,37,13,,,,,345,199,170,3.45,,1035,448,55,14,No,No,Ivy,1,0
Youngstown St.,51,30,21,0,1435,456,79,7,51,318,54,10,,,,,334.2,265,217,4.54,,1004,480,72,12,No,No,Horizon,1,0
