Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Michigan St.,50,16,34,0,1280,347,65,10,44,244,45,10,191,20,19,21,315,340,262,5.82,144,145,27,3,945,434,68,11,No,No,Big Ten,6,3
Middle Tenn.,57,29,28,0,1502,400,57,7,28,210,71,10,157,22,8,57,386.2,252,209,3.78,215,150,36,7,1160,400,69,15,No,No,C-USA,1,0
Minnesota,53,41,12,0,1369,400,81,12,68,297,41,9,195,17,11,39,349,106,86,1.72,430,101,23,18,1047,400,33,9,At-large,Yes,Big Ten,6,3
Mississippi St.,54,33,21,0,1440,434,54,9,69,287,42,4,121,45,14,13,354.2,228,165,3.26,287,230,39,8,1064,343,62,16,At-large,No,SEC,13,6
Mississippi Val.,39,9,30,0,996,238,41,5,12,121,18,4,92,7,8,18,243,259,196,5.65,96,182,23,1,729,313,60,11,No,No,SWAC,1,0
Missouri,55,32,23,0,1460,418,79,6,59,292,74,17,178,29,13,27,361.2,212,169,3.27,257,157,24,12,1085,463,55,20,At-large,No,SEC,13,6
Missouri St.,51,30,21,0,1349,373,48,11,16,208,52,14,155,21,14,27,338.1,186,144,2.98,246,113,19,5,1015,450,51,17,No,No,MVC,2,0
Monmouth,52,36,16,0,1361,373,67,14,36,223,53,6,112,22,16,9,341,135,111,2.28,266,80,27,14,1023,438,39,16,Auto,No,MAAC,1,0
Montana,56,25,31,0,1528,436,86,17,34,248,15,6,140,34,5,44,369.2,283,219,4.15,274,123,26,2,1109,418,78,14,No,No,Big Sky,1,0
Morehead St.,45,3,42,0,1001,197,32,5,18,104,46,12,82,34,4,24,256,428,361,9.87,85,151,38,1,768,299,78,5,No,No,OVC,1,0
Morgan St.,46,22,24,0,1142,315,54,10,17,232,73,13,150,11,18,34,288,251,194,4.72,136,130,17,7,863,341,76,16,No,No,MEAC,1,0
Mt. St. Mary's,54,26,28,0,1475,443,81,9,37,275,59,11,125,31,5,30,341.1,235,171,3.51,168,117,20,4,1024,439,76,21,No,No,Northeast,1,0
Murray St.,53,26,27,0,1398,373,62,3,27,227,51,10,150,19,10,32,351.1,233,180,3.59,221,109,24,9,1054,385,58,15,No,No,OVC,1,0
N.C. A&T,40,9,31,0,984,238,38,0,7,119,24,13,76,29,4,14,242,241,184,5.32,141,104,21,4,726,336,91,12,No,No,MEAC,1,0
N.C. Central,49,23,26,0,1247,328,39,6,21,198,92,18,100,28,9,16,309,231,182,4.12,180,114,37,6,927,376,57,11,No,No,MEAC,1,0
