Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,SHO,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
UMBC,52,30,22,0,1377,388,61,11,21,226,65,7,102,30,9,25,338,165,126,2.61,388,162,21,17,1014,296,71,8,Auto,No,America East,1,0
UMES,40,9,31,0,910,213,48,1,6,118,41,10,104,15,8,27,227,306,243,7.49,99,123,27,1,681,208,71,11,No,No,MEAC,1,0
UMKC,56,27,29,0,1521,426,84,12,37,269,90,28,150,26,7,15,372,244,175,3.29,283,143,24,8,1116,425,85,14,No,No,WAC,1,0
UNC Greensboro,56,33,23,0,1458,386,72,3,58,255,17,3,181,43,9,32,374.1,228,171,3.2,351,103,25,8,1123,334,68,12,No,No,Southern,1,0
UNCW,54,26,28,0,1359,331,63,13,39,224,50,11,163,63,19,10,351,246,199,3.97,194,135,25,8,1053,486,75,21,No,No,CAA,1,0
UNI,51,28,23,0,1365,359,49,6,59,261,44,13,176,41,14,5,337,206,161,3.34,220,135,15,8,1011,440,53,18,No,No,MVC,2,0
UNLV,50,36,14,0,1364,428,63,12,35,257,55,7,141,17,20,27,342.2,131,117,2.39,261,103,33,14,1028,370,30,26,No,No,MWC,2,0
USC Upstate,56,41,15,0,1427,438,59,8,45,309,156,16,159,22,19,45,366.2,122,90,1.72,378,111,28,18,1100,327,38,20,No,No,Atlantic Sun,1,0
UT Arlington,56,30,26,0,1514,462,60,8,24,277,77,22,171,26,14,70,381.1,221,192,3.52,145,116,33,5,1144,408,48,22,No,No,Sun Belt,1,0
UT Martin,56,29,27,0,1389,374,61,6,24,237,130,22,119,34,15,49,360,199,161,3.13,195,114,38,7,1080,404,50,17,No,No,OVC,1,0
Utah,54,19,35,0,1344,371,63,14,38,209,34,12,139,35,8,38,332.2,348,298,6.27,135,214,19,2,998,515,58,28,No,No,Pac-12,5,3
Utah St.,47,17,30,0,1239,341,54,3,48,226,10,4,134,50,8,8,289,271,232,5.62,154,138,29,5,867,357,54,12,No,No,MWC,2,0
Utah Valley,46,15,31,0,1204,344,67,4,38,198,31,11,120,18,8,28,285,278,226,5.55,109,122,23,2,855,371,72,27,No,No,WAC,1,0
UTEP,50,17,33,0,1294,370,64,6,49,221,18,7,127,26,7,17,300,337,300,7,191,313,29,2,900,378,45,25,No,No,C-USA,1,0
UTSA,52,21,31,0,1308,303,53,9,37,181,31,1,189,29,8,6,332,253,192,4.05,135,90,19,7,996,393,75,15,No,No,C-USA,1,0
Valparaiso,47,16,31,0,1139,249,45,5,22,155,25,10,125,22,11,29,296,259,227,5.37,241,227,29,6,888,282,47,18,No,No,MVC,2,0
Villanova,53,29,24,0,1391,382,75,14,50,281,45,10,164,38,18,12,341,238,193,3.96,235,124,37,8,1023,402,54,9,No,No,Big East,1,0
Virginia,53,22,31,0,1344,361,75,5,53,214,23,8,119,16,18,7,325,299,250,5.38,265,221,29,4,975,305,79,19,No,No,ACC,5,1
Virginia Tech,54,45,9,0,1440,486,91,8,92,382,61,13,183,37,16,11,342,127,92,1.88,340,103,33,22,1026,364,42,15,At-large,No,ACC,5,1
Wagner,44,15,29,0,1127,314,37,3,16,188,38,6,103,20,10,24,271.1,298,247,6.37,104,86,20,2,814,349,57,17,No,No,Northeast,1,0
Washington,52,45,7,0,1393,419,62,9,40,289,47,15,183,23,10,23,352,94,78,1.55,472,83,22,19,1056,323,30,11,At-large,Yes,Pac-12,5,3
Weber St.,45,26,19,0,1166,370,54,13,17,209,37,11,123,14,8,45,286,206,168,4.11,131,123,17,5,858,455,58,15,Auto,No,Big Sky,1,0
Western Caro.,53,21,32,0,1350,320,60,7,39,198,14,7,133,35,14,36,342.1,284,227,4.64,173,194,46,2,1027,482,68,25,No,No,Southern,1,0
Western Ill.,40,20,20,0,1095,281,42,9,16,181,21,4,159,17,12,20,273.1,167,142,3.64,228,61,16,2,820,259,40,3,No,No,Summit,1,0
Western Ky.,50,37,13,0,1282,373,69,8,49,270,90,18,137,21,17,31,327.2,142,126,2.69,404,197,18,13,983,276,33,5,No,No,C-USA,1,0
Western Mich.,46,18,28,0,1278,352,57,3,28,184,15,2,88,19,5,42,311,218,152,3.42,190,128,21,6,933,404,74,9,No,No,MAC,1,0
Wichita St.,56,32,24,0,1459,409,74,9,51,286,34,6,209,37,8,44,371.2,203,176,3.31,225,183,24,7,1115,449,39,25,No,No,AAC,3,0
Winthrop,55,30,25,0,1456,383,72,12,31,254,41,6,154,58,17,24,362,241,195,3.77,290,127,25,5,1086,332,64,10,No,No,Big South,1,0
Wisconsin,52,40,12,0,1333,386,78,9,63,323,67,22,221,32,12,37,340.2,134,107,2.2,243,121,25,13,1022,473,46,31,At-large,No,Big Ten,6,3
Wright St.,55,22,33,0,1459,385,69,6,15,228,65,15,170,24,15,13,356.2,320,205,4.02,227,130,34,2,1070,482,104,10,No,No,Horizon,1,0
Yale,43,16,27,0,1146,322,42,12,14,163,38,12,102,9,8,26,283.1,198,152,3.76,181,99,27,3,850,380,50,15,No,No,Ivy,1,0
Youngstown St.,54,25,29,0,1421,335,51,5,30,157,20,7,150,31,9,32,372,229,178,3.35,393,165,34,9,1112,341,65,9,No,No,Horizon,1,0
