Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16
Sacramento St.,42,15,27,0,1048,244,33,4,28,122,32,12,96,19,6,18,271.1,209,188,4.85,5,122,68,43,814,295,37,11,No,No,No,Big Sky,1,0
Sacred Heart,38,15,23,0,1000,240,40,2,39,152,12,2,123,17,3,15,254.2,188,167,4.59,1,163,103,25,764,304,36,6,No,No,No,Northeast,1,0
Saint Francis (PA),50,40,10,0,1296,395,59,6,38,282,69,12,125,66,15,26,327.2,97,69,1.47,19,321,93,21,983,430,46,13,Yes,No,No,Northeast,1,0
Saint Joseph's,46,26,20,0,1247,394,62,10,39,261,54,11,115,26,11,10,285.2,192,156,3.82,9,176,118,25,857,392,48,7,No,No,No,Atlantic 10,1,0
Saint Louis,46,19,27,0,1220,337,58,16,26,193,40,8,107,24,12,16,306.1,256,213,4.87,4,180,147,24,920,405,48,15,No,No,No,Atlantic 10,1,0
Saint Mary's (CA),37,13,24,0,942,223,35,4,8,126,31,8,79,30,10,20,245.2,175,137,3.9,3,209,151,19,737,272,44,20,No,No,No,WCC,1,0
Saint Peter's,30,2,28,0,756,164,21,2,7,85,25,10,42,12,4,19,193.2,216,182,6.58,0,85,103,20,581,184,45,3,No,No,No,MAAC,1,0
Sam Houston St.,50,19,31,0,1250,306,38,6,24,167,60,10,108,43,7,28,318.1,280,239,5.26,6,201,198,43,955,348,59,12,No,No,No,Southland,1,0
Samford,45,18,27,0,1215,311,54,1,26,147,20,7,93,23,10,16,301.1,189,160,3.72,5,214,112,44,904,402,48,25,No,No,No,Southern,1,0
San Diego,42,13,29,0,999,227,28,6,4,82,43,11,50,15,5,38,274,161,116,2.96,6,175,92,18,822,330,47,11,No,No,No,WCC,1,0
San Diego St.,44,28,16,0,1194,322,52,7,31,195,66,20,129,33,7,23,300.2,154,136,3.17,11,210,96,26,902,320,34,16,No,No,No,MWC,1,0
San Jose St.,32,9,23,0,810,175,27,7,10,88,11,4,97,10,9,23,210,186,156,5.2,1,81,65,28,630,229,37,4,No,No,No,MWC,1,0
Santa Clara,28,8,20,0,654,154,22,5,4,75,32,7,47,16,5,24,172,182,153,6.23,2,32,86,13,516,196,30,5,No,No,No,WCC,1,0
Seattle U,51,30,21,0,1339,393,63,13,30,222,49,17,137,34,13,20,331.2,188,156,3.29,5,259,123,32,995,338,50,12,Yes,No,No,WAC,1,0
Seton Hall,32,9,23,0,830,211,59,2,17,116,21,7,86,11,8,5,205.2,177,145,4.94,2,161,92,32,617,215,33,5,No,No,No,Big East,1,0
SFA,47,35,12,0,1256,375,67,3,42,253,27,10,115,56,6,32,311,106,91,2.05,16,322,134,19,933,294,25,12,No,No,No,Southland,1,0
Siena,34,19,15,0,935,256,33,1,14,148,17,4,109,25,5,18,235,115,98,2.92,3,171,96,25,705,263,42,7,No,No,No,MAAC,1,0
SIUE,39,18,21,0,1065,304,44,7,20,166,64,12,81,18,16,24,267.1,157,142,3.72,2,195,123,23,798,269,40,10,No,No,No,OVC,1,0
South Alabama,52,31,21,0,1358,363,59,6,36,201,32,6,139,20,8,34,351.2,179,149,2.97,9,334,144,36,1052,284,48,14,Yes,No,No,Sun Belt,4,0
South Carolina,52,26,26,0,1338,388,65,9,35,270,40,7,163,64,16,14,328.2,215,176,3.75,5,171,176,27,986,394,45,22,No,No,No,SEC,12,7
South Carolina St.,31,4,27,0,722,146,16,8,7,62,15,4,40,16,8,17,186.2,213,170,6.38,1,47,74,12,560,228,43,7,No,No,No,MEAC,1,0
South Dakota,51,13,38,0,1310,318,49,13,11,181,35,10,124,12,10,11,312.2,356,266,5.96,1,113,145,34,938,390,96,18,No,No,No,Summit,1,0
South Dakota St.,51,43,8,0,1418,449,76,25,73,321,48,4,149,30,11,5,340,104,91,1.87,15,308,122,16,1020,319,31,13,Yes,No,No,Summit,1,0
South Fla.,50,31,19,0,1210,285,41,8,21,183,91,8,133,31,11,29,332,149,123,2.59,17,360,129,45,996,275,46,19,Yes,No,No,AAC,3,0
Southeast Mo. St.,47,30,17,0,1244,359,55,7,54,223,59,23,141,23,8,15,306.2,139,122,2.78,12,285,88,30,920,249,44,9,No,No,No,OVC,1,0
Southeastern La.,51,28,23,0,1311,379,46,11,16,248,151,22,156,28,6,49,334,238,181,3.79,6,280,186,25,1002,275,78,4,No,No,No,Southland,1,0
Southern Ill.,53,37,16,0,1339,340,44,5,30,236,77,17,223,61,9,22,356.1,122,108,2.12,10,326,101,27,1069,382,38,23,Yes,No,No,MVC,2,0
Southern Miss.,53,22,31,0,1378,320,50,5,37,178,68,8,167,23,12,10,355.1,177,148,2.92,9,308,157,24,1066,425,55,18,No,No,No,C-USA,1,0
Southern U.,38,12,26,0,908,224,27,5,3,139,54,17,93,26,11,20,231.2,224,180,5.44,2,117,107,14,695,319,48,8,No,No,No,SWAC,1,0
Southern Utah,50,20,30,0,1280,362,73,2,60,259,10,7,132,66,9,12,306.1,345,279,6.38,3,162,169,32,919,381,79,24,No,No,No,Big Sky,1,0
St. Bonaventure,28,2,26,0,695,149,26,3,11,69,14,5,54,7,2,10,172.1,186,146,5.93,0,114,66,8,517,203,55,5,No,No,No,Atlantic 10,1,0
