Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16
Cal Poly,35,13,22,0,954,277,50,5,19,144,21,3,98,25,4,15,228,197,138,4.24,1,134,88,12,684,248,57,13,No,No,No,Big West,1,0
Cal St. Fullerton,53,38,15,0,1343,440,85,7,60,308,107,19,133,29,15,15,333.2,155,131,2.75,13,230,162,32,1001,381,40,12,No,No,No,Big West,1,0
California,37,17,20,0,967,254,34,4,27,138,25,7,96,29,5,11,236.1,156,120,3.55,4,167,92,36,709,260,51,5,No,No,No,Pac-12,6,4
California Baptist,52,21,30,1,1358,331,70,5,17,160,16,6,111,22,13,38,349.2,228,193,3.86,4,233,138,25,1049,364,60,6,No,No,No,WAC,1,0
Campbell,47,28,19,0,1120,302,62,18,28,200,75,17,141,26,16,20,298.1,161,121,2.84,9,224,118,25,895,348,54,12,Yes,No,No,Big South,1,0
Canisius,36,22,14,0,988,288,46,7,15,199,100,15,131,17,5,14,238,108,89,2.62,9,192,71,17,714,246,37,8,No,No,No,MAAC,1,0
Central Ark.,56,37,19,0,1461,430,75,9,34,279,138,19,185,32,11,22,360.2,120,99,1.92,15,301,106,25,1082,444,44,13,No,No,No,Southland,1,0
Central Conn. St.,38,23,15,0,948,254,55,2,48,193,36,9,128,16,10,17,243,160,136,3.92,3,178,90,15,729,245,41,4,No,No,No,Northeast,1,0
Central Mich.,48,20,28,0,1222,332,72,4,31,222,13,9,126,25,14,36,305,275,238,5.46,2,241,132,35,915,294,43,13,No,No,No,MAC,1,0
Charleston So.,35,11,24,0,923,235,31,6,21,118,40,2,87,10,10,23,231.2,179,150,4.53,1,122,90,17,695,269,40,9,No,No,No,Big South,1,0
Charlotte,50,31,19,0,1368,402,98,11,38,269,62,13,138,41,11,7,338.1,216,164,3.39,1,231,132,22,1015,356,55,22,No,No,No,C-USA,1,0
Chattanooga,38,13,25,0,975,237,54,3,13,122,18,6,91,22,7,44,259,209,166,4.49,5,120,135,25,777,339,45,14,No,No,No,Southern,1,0
Clemson,52,44,8,0,1353,396,60,11,66,280,87,15,144,46,10,10,346.1,96,74,1.5,14,369,97,25,1039,412,46,20,Yes,No,No,ACC,5,2
Cleveland St.,48,12,36,0,1213,275,47,1,28,149,41,2,98,11,4,31,304.1,293,226,5.2,2,138,131,27,916,423,83,14,No,No,No,Horizon,1,0
Coastal Caro.,45,21,24,0,1194,345,58,7,52,234,32,11,134,29,14,21,290.1,250,191,4.61,3,230,148,34,871,307,64,10,No,No,No,Big South,1,0
Col. of Charleston,41,6,35,0,1000,215,32,5,11,90,24,5,63,9,5,15,249.1,264,216,6.06,1,169,175,44,748,249,54,11,No,No,No,CAA,1,0
Colgate,32,16,15,1,822,233,54,0,26,134,14,4,69,17,6,15,206.1,128,107,3.63,5,145,80,12,619,260,27,9,No,No,No,Patriot,1,0
Colorado St.,36,16,20,0,1018,264,53,9,26,145,24,5,79,13,5,14,250.2,149,118,3.3,2,208,115,20,752,296,40,11,No,No,No,MWC,1,0
Coppin St.,31,6,25,0,754,198,34,7,11,103,9,4,71,5,2,17,178.2,255,202,7.91,2,77,148,37,536,203,50,11,No,No,No,MEAC,1,0
Creighton,28,14,14,0,710,196,25,2,23,109,14,4,80,15,1,31,179.2,145,126,4.91,2,151,109,20,539,196,28,8,No,No,No,Big East,1,0
CSUN,26,6,20,0,652,145,26,2,8,57,18,5,70,18,5,14,167.2,131,110,4.59,0,77,65,22,503,214,26,9,No,No,No,Big West,1,0
Dartmouth,5,3,2,0,155,52,14,2,1,35,8,2,13,1,3,1,33.1,27,21,4.41,1,39,21,2,100,15,9,2,No,No,No,Ivy,0,0
Dayton,47,21,26,0,1282,365,53,5,33,178,46,11,81,16,9,34,310.2,191,162,3.65,5,234,132,32,930,362,37,12,No,No,No,Atlantic 10,1,0
Delaware,34,25,9,0,889,271,49,11,36,220,57,8,106,16,9,11,218,127,105,3.37,8,148,82,24,654,295,36,16,No,No,No,CAA,1,0
Delaware St.,31,11,20,0,803,202,30,6,7,96,17,5,41,16,4,23,204.2,186,148,5.06,0,87,70,11,614,284,50,8,No,No,No,MEAC,1,0
DePaul,36,25,11,0,952,259,43,7,30,170,26,10,131,24,6,15,247,132,107,3.03,5,162,79,13,741,301,40,16,No,No,No,Big East,1,0
Detroit Mercy,4,2,2,0,102,22,0,0,2,8,2,1,17,0,0,4,26.1,15,10,2.66,0,21,8,0,79,20,6,1,No,No,No,Horizon,1,0
Dixie St.,49,19,30,0,1323,389,84,3,36,227,33,13,153,23,10,18,317.1,304,232,5.12,2,176,119,42,952,423,79,19,No,No,No,WAC,1,0
Drake,49,19,30,0,1286,355,63,8,17,207,70,14,150,20,9,19,312.2,271,225,5.04,5,298,227,49,938,245,73,4,No,No,No,MVC,2,0
Drexel,41,29,12,0,1088,357,61,2,41,289,39,6,170,32,13,8,255.2,151,126,3.45,4,131,96,19,767,351,30,6,No,No,No,CAA,1,0
Duke,56,44,12,0,1459,396,79,15,47,298,79,20,150,47,14,37,377,133,109,2.02,15,360,95,30,1131,393,52,23,Yes,No,No,ACC,5,2
East Carolina,49,16,33,0,1269,301,35,3,33,172,31,12,151,47,8,27,325,218,190,4.09,4,221,157,37,975,381,39,20,No,No,No,AAC,3,0
Eastern Ill.,44,25,19,0,1155,328,48,5,56,224,77,14,122,27,9,18,281,177,141,3.51,9,133,64,31,843,368,55,13,No,No,No,OVC,1,0
Eastern Ky.,52,35,17,0,1318,342,65,3,46,246,42,11,168,34,19,12,338.2,208,167,3.45,5,257,132,34,1016,417,65,14,Yes,No,No,OVC,1,0
Elon,39,18,21,0,1004,261,33,5,34,189,22,4,151,20,6,6,247,206,146,4.14,3,105,134,22,741,303,65,17,No,No,No,CAA,1,0
ETSU,37,15,22,0,988,235,44,3,21,130,21,2,101,25,3,12,252.2,137,112,3.1,6,165,111,14,755,273,30,10,No,No,No,Southern,1,0
Evansville,45,23,22,0,1133,305,54,5,47,215,67,10,182,28,14,17,293,194,166,3.97,3,276,134,41,879,306,60,4,No,No,No,MVC,2,0
Fairfield,36,22,14,0,954,260,45,5,14,151,52,10,96,19,3,33,243,122,91,2.62,4,182,88,8,729,280,36,10,No,No,No,MAAC,1,0
Fairleigh Dickinson,32,11,21,0,857,213,41,6,19,131,21,3,67,14,4,21,212,173,151,4.99,2,213,111,32,636,132,29,3,No,No,No,Northeast,1,0
FGCU,47,28,19,0,1213,331,57,6,11,173,67,8,93,25,12,35,320,153,123,2.69,6,145,91,24,960,440,46,12,No,No,No,ASUN,2,0
FIU,40,14,26,0,1076,286,41,10,15,163,53,21,90,11,8,25,272.1,198,153,3.93,1,136,89,22,817,264,42,9,No,No,No,C-USA,1,0
Fla. Atlantic,47,12,35,0,1219,294,41,11,20,139,35,10,72,20,4,19,310,228,199,4.49,3,162,148,25,930,389,55,23,No,No,No,C-USA,1,0
Florida,56,45,11,0,1419,393,72,7,54,284,56,3,209,61,18,16,375.2,115,99,1.84,19,292,117,22,1127,477,28,28,Yes,Yes,No,SEC,12,7
Florida A&M,28,6,22,0,645,147,22,6,3,78,35,6,70,10,6,12,164.1,208,159,6.77,1,53,94,15,493,207,45,8,No,No,No,MEAC,1,0
Florida St.,63,49,13,1,1600,414,76,6,47,304,117,15,208,32,15,18,422.2,129,110,1.82,21,382,112,17,1268,462,44,33,Yes,Yes,Yes,ACC,5,2
Fordham,47,37,10,0,1224,375,64,11,50,278,70,3,145,25,13,9,305,136,107,2.46,11,320,109,24,915,261,48,6,No,No,No,Atlantic 10,1,0
Fresno St.,49,37,12,0,1207,356,62,18,47,279,88,13,149,52,23,21,316.1,103,90,1.99,21,356,83,23,949,269,34,18,Yes,No,No,MWC,1,0
Furman,47,19,28,0,1160,274,55,5,37,186,57,19,147,36,7,21,299.2,240,194,4.53,6,123,112,20,899,368,56,13,No,No,No,Southern,1,0
Ga. Southern,43,17,26,0,1165,313,55,7,37,172,21,3,96,13,4,16,282.1,209,172,4.26,3,141,114,30,847,272,54,18,No,No,No,Sun Belt,4,0
Gardner-Webb,34,5,29,0,802,156,11,1,15,63,14,3,82,16,2,25,210.1,202,153,5.09,1,161,146,30,630,196,46,10,No,No,No,Big South,1,0
George Mason,35,18,17,0,946,244,40,8,12,125,62,12,66,8,12,17,243.1,116,93,2.68,6,206,68,11,730,238,36,5,No,No,No,Atlantic 10,1,0
George Washington,48,37,11,0,1316,447,80,9,64,336,54,10,150,34,14,17,306.1,103,86,1.97,13,308,55,21,919,278,28,7,Yes,No,No,Atlantic 10,1,0
Georgia,57,34,23,0,1461,384,56,14,83,276,30,3,174,29,11,13,382,241,176,3.23,10,379,200,47,1146,395,72,14,Yes,Yes,Yes,SEC,12,7
Georgia St.,46,16,30,0,1216,322,37,7,33,177,44,5,129,15,3,21,302,236,190,4.4,3,180,163,20,906,376,53,14,No,No,No,Sun Belt,4,0
Georgia Tech,46,20,26,0,1180,326,48,2,56,234,29,9,176,33,15,13,297.1,232,195,4.59,5,204,107,43,892,301,36,13,No,No,No,ACC,5,2
Grambling,31,13,18,0,722,177,23,2,8,117,69,6,66,23,3,22,180.1,168,136,5.28,0,86,89,8,541,224,43,6,No,No,No,SWAC,1,0
Grand Canyon,49,19,30,0,1274,350,48,10,23,199,51,12,104,27,8,32,318.1,285,215,4.73,5,195,141,51,955,374,79,14,No,No,No,WAC,1,0
Green Bay,44,23,21,0,1207,336,57,5,21,186,40,7,115,36,10,27,292.2,174,144,3.44,4,208,112,28,877,309,49,8,No,No,No,Horizon,1,0
Hartford,19,6,13,0,495,120,20,0,12,55,16,5,32,13,4,2,125.2,76,65,3.62,1,70,20,4,377,139,20,5,No,No,No,America East,1,0
Hawaii,31,12,19,0,807,215,35,7,18,132,28,7,85,22,9,3,202.1,187,159,5.5,2,53,78,22,607,292,47,11,No,No,No,Big West,1,0
Hofstra,32,16,16,0,870,261,38,12,14,171,83,14,86,25,11,15,212.1,164,127,4.19,1,61,84,17,637,360,48,24,No,No,No,CAA,1,0
Holy Cross,28,8,20,0,683,138,21,1,9,54,13,6,56,12,2,20,187.2,111,86,3.21,4,164,61,7,563,213,35,14,No,No,No,Patriot,1,0
Houston,50,17,33,0,1233,322,54,8,49,203,55,11,137,40,11,23,312.1,276,224,5.02,2,179,157,46,937,339,57,8,No,No,No,AAC,3,0
Houston Baptist,39,22,17,0,1040,282,45,5,30,153,12,2,101,20,5,30,266.1,107,91,2.39,9,160,118,22,799,303,27,13,No,No,No,Southland,1,0
Howard,30,17,13,0,789,237,46,8,10,158,40,12,84,23,5,30,200.2,136,119,4.15,5,160,73,24,602,210,30,14,No,No,No,MEAC,1,0
Idaho St.,39,12,27,0,1014,290,53,3,23,171,12,11,107,25,10,12,241,282,250,7.26,1,103,104,20,723,279,45,14,No,No,No,Big Sky,1,0
Illinois,44,24,20,0,1171,324,66,9,19,179,52,8,63,48,8,30,294.2,146,112,2.66,9,260,96,27,884,299,44,10,No,No,No,Big Ten,3,0
Illinois St.,41,31,10,0,1056,292,47,10,33,197,30,3,140,24,14,24,271,104,79,2.04,14,332,99,12,813,263,42,13,No,No,No,MVC,2,0
Incarnate Word,43,16,27,0,1086,253,42,5,13,120,26,5,106,22,9,27,276.1,214,149,3.77,6,189,134,53,829,309,65,11,No,No,No,Southland,1,0
Indiana,44,25,19,0,1136,302,58,12,28,162,95,22,91,36,11,26,302,136,102,2.36,9,245,94,13,906,347,60,12,No,No,No,Big Ten,3,0
Indiana St.,48,20,28,0,1353,369,62,5,36,213,45,7,140,28,9,14,324.2,245,197,4.25,5,226,134,43,974,395,61,10,No,No,No,MVC,2,0
Iona,34,22,12,0,926,240,49,1,28,154,17,3,117,14,10,13,232,162,135,4.07,3,217,106,9,696,212,45,2,No,No,No,MAAC,1,0
Iowa,44,26,18,0,1164,284,40,11,19,163,25,12,103,22,6,33,310.2,133,104,2.34,6,223,80,21,932,324,47,11,No,No,No,Big Ten,3,0
Iowa St.,57,34,23,0,1566,447,77,8,64,315,78,15,172,46,8,11,377.1,254,224,4.16,4,213,185,31,1132,492,49,16,Yes,No,No,Big 12,5,3
IUPUI,45,14,31,0,1169,281,48,4,17,144,52,12,134,14,13,33,303.2,220,172,3.96,1,202,104,22,910,312,67,13,No,No,No,Horizon,1,0
Jackson St.,40,17,23,0,938,229,50,8,6,149,46,3,103,48,5,15,239,223,182,5.33,1,129,69,17,716,307,70,10,No,No,No,SWAC,1,0
Jacksonville,49,29,20,0,1245,330,64,9,26,200,47,18,141,27,11,15,322,112,89,1.93,16,248,95,27,966,331,48,16,No,No,No,ASUN,2,0
Jacksonville St.,49,24,25,0,1330,336,52,8,38,192,46,7,124,38,14,37,342,205,161,3.3,7,320,201,29,1026,323,56,14,No,No,No,OVC,1,0
James Madison,45,41,4,0,1150,353,58,11,71,304,51,3,187,26,22,18,298,92,76,1.79,14,374,99,22,894,261,28,7,Yes,Yes,Yes,CAA,1,0
Kansas,48,22,26,0,1265,337,56,3,56,237,40,5,165,37,6,25,321.1,280,220,4.79,2,211,168,33,964,351,64,17,No,No,No,Big 12,5,3
Kennesaw St.,54,27,27,0,1381,357,63,11,40,198,43,10,128,14,8,31,349.1,180,147,2.95,8,231,140,38,1048,369,69,14,Yes,No,No,ASUN,2,0
Kent St.,53,27,26,0,1463,423,59,6,35,240,21,8,99,23,8,37,352.1,250,216,4.29,7,300,144,32,1057,311,61,8,No,No,No,MAC,1,0
Kentucky,59,43,16,0,1615,524,81,17,78,378,62,18,176,43,24,31,385.2,191,150,2.72,8,270,135,30,1157,461,64,29,Yes,Yes,No,SEC,12,7
La Salle,30,0,30,0,698,149,30,1,7,50,8,4,48,5,1,10,167.1,239,184,7.7,0,80,68,18,502,190,58,5,No,No,No,Atlantic 10,1,0
La.-Monroe,49,17,32,0,1212,302,54,7,13,172,49,11,155,29,9,44,313.2,268,220,4.91,2,214,144,29,941,323,61,10,No,No,No,Sun Belt,4,0
Lafayette,22,1,21,0,494,110,17,0,8,41,8,4,32,8,1,5,119.1,192,160,9.39,1,45,64,19,358,121,32,2,No,No,No,Patriot,1,0
Lamar University,51,8,43,0,1110,206,22,3,10,91,23,7,117,30,12,16,293.1,412,338,8.07,0,125,162,33,880,341,72,13,No,No,No,Southland,1,0
Lehigh,34,18,16,0,944,291,61,7,15,174,34,11,91,8,4,23,217,144,111,3.58,7,165,87,18,651,258,38,15,No,No,No,Patriot,1,0
Liberty,59,44,15,0,1568,453,94,9,58,306,48,12,176,37,11,28,397,165,146,2.57,19,291,142,20,1191,471,53,22,Yes,No,No,ASUN,2,0
Lipscomb,36,18,18,0,962,253,41,5,6,125,44,6,76,19,7,21,241.2,126,99,2.87,6,163,113,23,725,313,38,6,No,No,No,ASUN,2,0
LIU Brooklyn,36,27,9,0,983,343,53,9,22,236,47,2,103,26,16,18,229.1,140,123,3.75,3,172,106,22,688,277,27,10,No,No,No,Northeast,1,0
LMU (CA),43,22,21,0,1078,263,41,8,19,136,46,8,105,18,2,16,273,170,141,3.62,9,184,88,16,819,262,56,12,No,No,No,WCC,1,0
Long Beach St.,41,30,11,0,1079,345,55,15,31,239,41,8,119,38,15,11,263.1,126,96,2.55,7,259,103,42,790,291,49,15,Yes,No,No,Big West,1,0
Longwood,54,26,28,0,1328,312,63,8,28,201,125,23,142,40,15,21,345.2,261,225,4.56,5,225,194,45,1037,403,57,14,No,No,No,Big South,1,0
Louisiana,59,47,12,0,1604,507,76,12,66,386,164,28,162,46,19,22,390,160,132,2.37,19,391,101,27,1170,354,61,15,Yes,No,No,Sun Belt,4,0
Louisiana Tech,52,22,30,0,1401,326,55,8,20,183,48,5,124,55,11,41,360.2,245,190,3.69,2,211,198,28,1082,464,65,24,No,No,No,C-USA,1,0
Louisville,50,21,28,1,1341,335,40,10,39,185,44,10,99,24,5,20,339.2,201,160,3.3,7,207,114,15,1019,406,58,17,No,No,No,ACC,5,2
Loyola Chicago,42,13,29,0,1092,256,37,3,17,131,54,22,92,29,3,37,283.2,201,166,4.1,1,235,198,29,851,309,33,12,No,No,No,MVC,2,0
LSU,57,35,22,0,1489,400,55,12,64,278,61,5,188,30,16,11,383.1,196,142,2.59,5,282,137,45,1150,435,59,22,Yes,Yes,No,SEC,12,7
Maine,33,11,22,0,853,194,35,7,19,101,32,7,63,12,6,10,211,162,138,4.58,1,140,74,26,633,232,35,4,No,No,No,America East,1,0
Manhattan,38,22,16,0,1027,257,39,5,20,136,34,6,79,13,5,15,263.1,140,123,3.27,3,211,130,22,790,274,34,13,Yes,No,No,MAAC,1,0
Marist,27,15,12,0,755,227,34,4,25,133,47,9,66,7,3,25,185.2,89,66,2.49,3,165,72,12,557,186,27,7,No,No,No,MAAC,1,0
Marshall,33,20,13,0,899,266,60,4,50,190,14,13,110,39,6,13,221,152,123,3.9,4,134,84,25,663,235,33,7,No,No,No,C-USA,1,0
Maryland,44,19,25,0,1108,269,25,21,15,129,69,17,81,17,4,9,287,152,128,3.12,3,158,97,18,861,307,31,8,No,No,No,Big Ten,3,0
Massachusetts,33,16,17,0,865,273,38,16,9,200,35,4,127,31,14,16,198,227,180,6.36,3,139,112,15,594,166,41,14,No,No,No,Atlantic 10,1,0
McNeese,61,35,26,0,1596,414,78,8,30,246,128,26,160,44,13,35,421.2,193,164,2.72,9,234,136,17,1265,634,65,48,Yes,No,No,Southland,1,0
Memphis,50,9,41,0,1232,278,39,9,20,142,59,8,108,28,7,17,309.1,308,265,6,3,211,236,61,928,379,67,8,No,No,No,AAC,3,0
Mercer,47,24,23,0,1214,329,56,10,18,203,71,7,110,22,10,42,307.1,199,158,3.6,4,136,112,58,922,348,57,16,No,No,No,Southern,1,0
Merrimack,24,6,18,0,574,118,21,3,8,60,15,4,56,18,2,5,149.2,153,132,6.17,3,93,100,20,449,176,24,1,No,No,No,Northeast,1,0
Miami (OH),56,46,10,0,1467,499,116,11,88,427,85,9,205,44,18,2,345,159,130,2.64,19,438,123,28,1035,291,44,9,Yes,No,No,MAC,1,0
Michigan,46,38,8,0,1225,359,71,9,40,217,41,9,98,24,6,44,313.2,68,55,1.23,19,482,81,29,941,199,24,11,Yes,No,No,Big Ten,3,0
Michigan St.,40,14,26,0,1022,231,36,10,13,96,20,12,81,17,3,15,273,152,116,2.97,4,275,83,24,819,300,44,4,No,No,No,Big Ten,3,0
Middle Tenn.,48,26,22,0,1321,353,57,8,14,164,62,13,109,17,12,42,346.1,175,144,2.91,8,157,87,29,1039,425,43,17,No,No,No,C-USA,1,0
Minnesota,44,31,13,0,1170,285,41,7,53,205,33,10,179,37,7,30,312,123,92,2.06,9,269,75,38,936,348,35,14,Yes,No,No,Big Ten,3,0
Mississippi St.,60,35,25,0,1563,427,69,6,70,298,35,9,189,60,10,16,388.2,234,192,3.46,8,417,163,43,1165,356,76,10,Yes,No,No,SEC,12,7
Mississippi Val.,25,4,21,0,578,132,32,5,8,75,8,6,50,12,5,10,141,158,120,5.96,0,58,58,22,421,209,54,1,No,No,No,SWAC,1,0
Missouri,59,42,17,0,1596,510,88,5,91,382,57,11,209,22,15,5,383,196,170,3.11,12,317,130,35,1149,387,33,13,Yes,Yes,No,SEC,12,7
Missouri St.,43,26,17,0,1082,287,49,10,25,186,69,12,140,19,10,28,286.2,143,109,2.66,10,232,108,27,858,268,57,12,No,No,No,MVC,2,0
Monmouth,34,25,9,0,913,262,56,2,25,190,21,8,124,40,4,10,232,93,79,2.38,5,166,58,23,696,302,37,5,No,No,No,MAAC,1,0
Montana,49,19,30,0,1349,422,60,3,37,234,20,10,102,50,12,24,321.1,336,291,6.34,3,251,187,43,964,294,56,10,No,No,No,Big Sky,1,0
Morehead St.,41,11,30,0,1021,224,35,4,6,131,67,14,81,37,8,6,257.1,230,190,5.17,2,129,139,33,772,300,57,8,No,No,No,OVC,1,0
Morgan St.,41,24,17,0,1039,280,49,14,15,189,68,8,114,14,13,23,270,169,130,3.37,6,189,96,18,810,291,55,14,Yes,No,No,MEAC,1,0
Mt. St. Mary's,44,19,25,0,1142,303,52,8,19,181,56,12,110,31,7,37,289.1,238,194,4.69,3,127,105,28,867,400,47,20,No,No,No,Northeast,1,0
Murray St.,51,22,29,0,1335,300,58,5,18,158,67,10,114,28,13,23,351.2,163,131,2.61,4,265,84,19,1055,407,57,18,No,No,No,OVC,1,0
N.C. A&T,42,11,31,0,1039,253,48,6,8,150,53,12,110,25,8,23,268.1,312,252,6.57,1,128,197,39,805,334,73,21,No,No,No,MEAC,1,0
N.C. Central,44,13,31,0,1133,274,52,11,16,134,44,9,88,26,13,19,287.2,274,214,5.21,0,142,125,23,863,328,77,10,No,No,No,MEAC,1,0
NC State,51,26,25,0,1252,329,41,6,69,241,91,14,174,43,11,11,323.2,206,164,3.55,10,257,136,60,971,305,50,16,No,No,No,ACC,5,2
Nebraska,44,22,22,0,1151,288,58,6,37,190,40,12,117,37,12,10,291,171,142,3.42,3,173,118,20,873,388,40,23,No,No,No,Big Ten,3,0
Nevada,40,24,16,0,1115,322,51,7,25,194,62,4,116,29,9,14,268.2,173,141,3.67,6,193,101,15,806,294,39,17,No,No,No,MWC,1,0
New Mexico,46,10,36,0,1104,252,53,6,30,140,30,7,108,30,9,12,278.2,314,260,6.53,1,100,147,52,836,357,71,19,No,No,No,MWC,1,0
New Mexico St.,52,31,21,0,1407,413,83,9,66,275,51,16,137,41,12,12,342,260,205,4.2,3,222,132,27,1026,319,62,7,No,No,No,WAC,1,0
Niagara,30,11,19,0,809,229,39,6,15,133,25,2,96,15,11,24,201,175,162,5.64,1,113,94,18,603,247,37,8,No,No,No,MAAC,1,0
Nicholls St.,40,12,28,0,1041,276,40,5,9,127,28,4,76,25,4,19,256,210,166,4.54,3,117,176,36,766,329,48,20,No,No,No,Southland,1,0
Norfolk St.,39,20,19,0,1045,282,49,9,25,193,79,11,119,33,12,15,265,168,105,2.77,4,196,108,14,795,296,77,8,No,No,No,MEAC,1,0
North Ala.,38,19,19,0,919,214,32,8,21,143,50,8,109,23,11,24,243,127,112,3.23,5,195,76,20,729,229,29,8,No,No,No,ASUN,2,0
