Team,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16,,,,,,,,,,,,,,,,,,,
Bucknell,45,7,38,0,1110,241,41,4,7,90,9,1,88,11,6,17,275,242,180,4.58,5,184,86,20,825,274,57,9,No,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Buffalo,46,22,24,0,1189,261,45,7,38,185,48,9,162,30,10,4,312.1,222,181,4.06,2,210,94,27,937,355,55,12,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Butler,48,31,17,0,1256,334,42,8,27,185,64,19,150,28,12,22,326.1,151,118,2.53,9,342,113,18,979,315,55,8,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
BYU,52,42,10,0,1342,451,93,10,66,365,61,11,200,35,12,33,329.1,125,95,2.02,17,284,83,16,988,418,42,31,No,No,No,WCC,1,0,,,,,,,,,,,,,,,,,,,
Cal Poly,48,19,29,0,1248,348,52,9,13,179,20,10,106,40,7,32,304.1,217,164,3.77,4,192,149,24,913,323,61,12,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
Cal St. Fullerton,56,36,20,0,1520,466,78,5,39,296,89,15,130,43,12,18,370.2,221,183,3.46,11,324,181,62,"1,112",446,47,16,Yes,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
California,56,28,27,1,1492,434,63,8,57,275,54,16,152,37,10,26,369,255,215,4.08,3,246,164,32,"1,107",500,62,20,No,No,No,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
California Baptist,56,30,26,0,1411,345,64,9,11,212,53,15,119,36,17,47,377,206,165,3.06,6,250,152,30,"1,131",399,58,9,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Campbell,54,37,17,0,1334,307,54,7,20,190,67,9,154,34,17,46,375,139,103,1.92,14,355,98,16,"1,125",415,77,10,Yes,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Canisius,48,32,16,0,1282,374,58,13,16,248,107,19,124,20,11,20,310.1,145,116,2.62,9,286,64,17,933,318,45,8,Yes,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Central Ark.,55,35,20,0,1482,452,53,8,35,269,85,15,172,10,9,28,359,147,129,2.52,9,338,107,17,"1,077",380,31,13,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Central Conn. St.,49,8,41,0,1236,277,63,7,22,135,12,9,124,17,11,18,310,317,265,5.98,1,177,149,30,930,358,51,15,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
Central Mich.,53,27,26,0,1420,392,80,5,48,235,15,5,118,18,6,37,348,221,187,3.76,6,275,131,18,"1,044",357,43,12,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Charleston So.,55,27,28,0,1460,384,73,7,35,217,32,10,109,24,10,19,365.2,225,171,3.27,6,253,111,17,"1,097",395,59,13,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Charlotte,58,35,23,0,1558,461,93,12,71,319,52,12,193,47,14,17,392.1,245,216,3.85,5,270,124,15,"1,176",464,49,16,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Chattanooga,54,29,25,0,1438,402,76,10,55,267,56,7,114,33,16,48,359,232,168,3.28,6,181,160,29,"1,076",480,85,21,Yes,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
Clemson,54,39,15,0,1380,378,61,11,64,263,72,15,170,43,9,7,355.1,131,95,1.87,17,324,88,21,"1,066",459,53,16,Yes,Yes,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Cleveland St.,46,22,24,0,1228,300,56,8,22,180,40,11,94,20,5,40,313.2,196,150,3.35,2,285,134,16,941,350,70,11,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Coastal Caro.,54,25,29,0,1384,352,60,0,67,212,42,7,121,23,9,18,360,249,211,4.1,5,323,177,44,"1,080",407,70,16,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
