Team,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,SHO,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,SuperRegionals,WCWS,Conference,ConfNumBids,ConfTop16,,,,,,,,,,,,,,,,,,,
Lehigh,49,30,18,1,1315,392,58,10,31,212,52,12,98,4,13,18,316.1,211,185,4.09,5,231,97,30,949,340,40,13,Yes,No,No,Patriot,1,0,,,,,,,,,,,,,,,,,,,
Liberty,59,43,16,0,1547,457,76,14,56,346,54,16,193,30,20,16,388,163,125,2.26,16,286,158,33,"1,164",453,55,19,Yes,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Lipscomb,52,20,32,0,1358,336,50,15,20,199,35,17,143,25,11,31,354,293,246,4.86,3,201,164,28,"1,062",399,58,12,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
LIU Brooklyn,57,26,31,0,1529,440,66,3,18,248,48,13,136,24,15,44,376.2,302,254,4.72,4,160,128,58,"1,129",476,62,19,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
LMU (CA),51,36,15,0,1333,411,78,6,35,274,74,14,144,36,16,51,341,143,124,2.55,11,324,129,18,"1,023",312,36,14,Yes,No,No,WCC,1,0,,,,,,,,,,,,,,,,,,,
Long Beach St.,51,29,22,0,1326,366,53,6,11,217,31,11,132,43,14,27,333.2,226,177,3.71,8,234,185,56,"1,001",268,49,7,No,No,No,Big West,1,0,,,,,,,,,,,,,,,,,,,
Longwood,58,34,24,0,1562,440,56,10,36,233,83,22,125,32,13,14,374,209,155,2.9,10,420,182,28,"1,130",387,68,14,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Louisiana,56,45,11,0,1497,536,100,25,78,406,133,27,178,30,24,18,362,139,106,2.05,16,473,124,32,"1,086",281,52,14,Yes,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
Louisiana Tech,59,39,20,0,1521,446,78,17,46,298,69,7,195,68,18,29,382,208,162,2.97,8,177,131,20,"1,146",558,62,31,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Louisville,52,27,25,0,1372,382,74,18,56,276,36,10,170,26,7,18,336.2,260,201,4.18,6,219,158,32,"1,010",403,67,24,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Loyola Chicago,47,17,30,0,1194,258,33,12,16,139,67,21,129,25,7,14,309.1,216,178,4.03,5,240,127,14,928,338,49,14,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
LSU,55,34,21,0,1454,423,92,9,63,330,47,8,224,31,16,20,370.2,189,153,2.89,11,283,151,21,"1,112",417,56,19,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Maine,45,8,37,0,1200,304,53,9,22,174,43,13,81,17,12,17,287.1,311,237,5.77,1,154,145,43,862,407,82,14,No,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
Manhattan,45,13,32,0,1162,270,44,8,27,146,42,13,96,12,4,9,297.2,229,164,3.86,3,182,112,23,893,340,67,8,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Marist,55,25,30,0,1459,390,66,10,42,258,88,13,143,32,16,12,353.1,276,228,4.52,6,251,179,23,"1,060",409,53,22,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Marshall,53,35,18,0,1366,439,89,2,75,325,37,4,175,45,13,25,333.1,200,159,3.34,12,372,118,28,"1,000",374,61,13,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Maryland,52,29,23,0,1378,384,68,8,17,258,129,18,143,41,16,23,346.2,202,159,3.21,5,264,126,37,"1,040",441,55,9,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Massachusetts,51,19,32,0,1286,301,36,10,14,173,30,5,167,31,12,22,329.2,278,227,4.82,4,244,168,18,989,292,56,9,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
McNeese,57,38,19,0,1438,411,76,15,26,303,138,27,190,53,26,20,380.2,192,148,2.72,12,220,87,22,"1,142",494,65,29,Yes,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Memphis,54,16,38,0,1318,328,43,7,20,190,26,16,128,21,13,34,338,361,269,5.57,0,187,178,59,"1,014",402,90,23,No,No,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
Mercer,56,16,40,0,1457,379,58,8,20,201,40,15,159,41,8,33,361,335,306,5.93,2,198,128,46,"1,083",346,61,7,No,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
Merrimack,42,14,28,0,1095,271,41,1,12,136,43,10,105,20,4,16,276.2,221,199,5.03,2,147,168,26,828,364,46,4,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
Miami (OH),55,39,15,1,1506,465,80,13,109,352,59,9,176,25,17,8,360.2,196,146,2.83,13,364,141,39,"1,081",354,52,13,Yes,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Michigan,52,36,16,0,1378,394,90,10,35,257,55,14,130,40,11,23,348.2,124,102,2.05,15,457,121,37,"1,046",201,28,5,Yes,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Michigan St.,52,24,28,0,1339,347,60,7,25,188,51,18,131,23,17,37,350,171,119,2.38,11,370,91,23,"1,050",379,53,9,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Middle Tenn.,53,19,34,0,1378,338,52,4,16,155,50,9,103,27,12,43,359,242,203,3.96,3,212,136,40,"1,077",326,60,13,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Minnesota,51,26,24,1,1338,376,67,5,64,269,35,1,186,51,10,24,328.2,259,210,4.47,5,278,162,26,986,366,41,22,Yes,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Mississippi St.,57,33,24,0,1459,405,69,6,69,288,21,6,172,52,11,17,372.2,218,162,3.04,8,378,178,46,"1,118",353,71,12,Yes,Yes,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Mississippi Val.,37,11,26,0,905,195,23,11,10,90,58,11,64,13,5,27,237,190,143,4.22,3,109,66,21,711,357,56,11,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Missouri,56,36,20,0,1486,415,60,9,85,284,52,15,171,32,11,13,374.1,182,157,2.94,11,335,135,27,"1,123",346,37,19,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Missouri St.,45,27,18,0,1144,287,52,6,39,186,66,16,138,26,9,18,305,162,137,3.14,7,257,100,20,915,343,36,15,Yes,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Monmouth,49,11,38,0,1226,256,49,3,13,120,35,10,119,32,6,22,317.2,273,195,4.3,2,223,156,21,952,422,77,11,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Montana,47,20,27,0,1296,376,58,5,43,228,23,3,133,41,11,22,309.1,234,214,4.84,2,147,120,42,928,345,35,17,No,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
Morehead St.,44,8,36,0,990,212,35,5,5,105,43,19,79,36,4,16,254.2,276,203,5.58,2,155,159,20,764,291,67,11,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Morgan St.,45,30,15,0,1186,328,73,19,21,243,99,22,150,38,11,18,303.1,118,71,1.64,8,253,78,17,911,334,58,11,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
Mt. St. Mary's,48,26,22,0,1180,276,50,7,25,165,95,14,122,45,6,26,311,172,138,3.11,8,134,64,18,933,434,51,25,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
Murray St.,57,40,16,1,1471,417,87,11,42,268,48,14,152,47,16,21,380.1,122,80,1.47,19,351,66,9,"1,141",405,58,10,Yes,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
N.C. A&T,48,13,35,0,1159,280,34,10,29,170,72,19,105,22,8,17,301.2,301,217,5.04,1,187,206,31,905,341,78,18,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
N.C. Central,48,12,36,0,1134,273,45,5,32,179,42,15,124,28,3,3,284,395,296,7.3,0,177,242,41,852,385,87,11,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
NC State,56,33,23,0,1381,359,62,1,82,285,27,9,204,49,16,13,362.1,243,198,3.83,10,321,129,50,"1,087",377,64,14,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Nebraska,54,40,14,0,1486,468,83,10,75,335,45,8,171,25,10,10,354.1,180,142,2.81,8,283,146,34,"1,062",422,45,26,Yes,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Nevada,52,17,35,0,1367,357,62,7,33,226,92,18,141,54,12,29,340.2,338,260,5.34,0,273,185,34,"1,022",338,75,14,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
New Mexico,53,26,27,0,1401,379,57,9,46,225,19,5,178,14,19,22,348.1,287,202,4.06,3,281,140,63,"1,045",391,73,13,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
New Mexico St.,51,13,38,0,1355,416,54,4,66,266,40,12,125,20,7,8,311,480,423,9.52,0,176,239,50,933,343,74,16,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Niagara,40,14,26,0,993,228,40,1,9,128,31,9,118,14,7,17,251,185,144,4.02,5,197,125,37,753,275,44,7,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Nicholls St.,50,12,38,0,1201,295,55,4,18,158,60,16,123,27,10,23,304,335,266,6.12,1,130,153,39,912,393,72,12,No,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Norfolk St.,57,34,23,0,1478,430,87,13,37,309,110,26,192,49,22,24,375.2,264,187,3.48,4,293,148,30,"1,127",443,103,19,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
North Ala.,56,38,18,0,1562,495,80,8,62,341,57,7,172,27,16,22,367,218,196,3.74,7,262,132,24,"1,101",312,40,18,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
North Carolina,51,23,28,0,1268,340,64,11,21,202,52,25,121,40,12,19,325.1,260,247,5.31,7,252,146,36,976,332,45,19,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
North Dakota,53,14,39,0,1366,307,54,6,6,116,31,11,114,24,11,11,338,281,228,4.72,4,202,202,29,"1,014",531,66,27,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
North Dakota St.,53,30,23,0,1429,390,96,7,30,269,29,11,156,28,14,12,351.2,191,151,3.01,9,251,111,32,"1,055",464,62,17,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
North Florida,59,42,17,0,1471,398,63,10,36,274,76,20,161,26,19,45,396.2,148,99,1.75,18,336,114,20,"1,190",461,64,16,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
North Texas,49,35,14,0,1263,376,74,4,68,277,55,15,149,21,17,10,316.1,169,135,2.99,7,281,83,19,949,387,45,12,Yes,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Northern Colo.,53,23,30,0,1389,400,59,12,23,236,31,14,122,48,15,40,339.1,301,228,4.7,3,311,140,26,"1,018",321,77,9,No,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
Northern Ill.,45,17,28,0,1204,335,59,7,19,219,86,20,148,12,14,29,292.2,282,241,5.76,2,151,169,43,878,316,55,14,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Northern Ky.,56,27,29,0,1441,329,59,6,26,173,38,10,127,26,5,49,373.2,210,178,3.33,5,352,116,27,"1,121",269,51,8,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Northwestern,50,40,10,0,1343,400,62,7,66,325,71,14,174,51,14,8,330.2,149,119,2.52,13,380,119,57,992,302,37,12,Yes,Yes,Yes,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Northwestern St.,51,29,22,0,1363,364,52,2,32,188,25,9,125,21,9,35,347.2,162,126,2.54,9,386,150,35,"1,043",338,53,7,No,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Notre Dame,49,39,10,0,1360,449,91,14,45,314,71,12,125,36,14,18,324.2,143,114,2.46,12,259,119,25,974,370,46,12,Yes,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Oakland,41,26,15,0,1094,280,59,6,23,159,20,9,96,22,9,8,272.1,139,107,2.75,9,179,93,24,817,356,50,13,Yes,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Ohio,48,23,25,0,1336,367,72,11,54,241,78,6,149,36,13,7,325.2,255,211,4.54,3,191,124,14,977,359,68,17,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Ohio St.,50,35,15,0,1335,388,63,12,47,247,42,10,95,33,11,28,332,161,137,2.89,10,381,148,15,996,224,41,8,Yes,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Oklahoma,51,49,2,0,1251,459,59,8,125,463,53,15,228,45,19,9,294,45,34,0.81,29,411,92,22,882,270,30,15,Yes,Yes,Yes,Big 12,3,2,,,,,,,,,,,,,,,,,,,
Oklahoma St.,53,41,12,0,1371,401,49,4,62,281,53,11,183,31,14,20,347.1,111,95,1.91,15,471,114,26,"1,042",282,27,12,Yes,Yes,Yes,Big 12,3,2,,,,,,,,,,,,,,,,,,,
Ole Miss,56,39,17,0,1422,406,77,8,44,297,53,9,198,54,14,19,363.2,195,167,3.21,13,301,127,50,"1,091",339,36,18,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Omaha,46,32,14,0,1222,336,65,10,26,190,56,4,109,44,8,9,308.1,110,99,2.25,16,373,163,9,925,236,24,8,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
Oregon,48,31,17,0,1294,387,69,8,62,286,81,17,112,25,14,10,310.1,184,170,3.83,7,306,101,40,931,258,29,12,Yes,No,No,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Oregon St.,52,33,19,0,1428,400,63,6,52,256,35,12,122,27,9,8,345.2,126,92,1.86,17,414,82,33,"1,037",383,48,5,Yes,Yes,Yes,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Pacific,49,12,37,0,1293,322,44,5,18,137,40,14,78,19,8,24,324.2,244,190,4.1,1,193,117,55,974,365,82,13,No,No,No,WCC,1,0,,,,,,,,,,,,,,,,,,,
Penn,43,12,31,0,1130,285,43,3,27,159,32,7,128,26,7,12,272,254,215,5.53,3,139,131,33,816,328,42,6,No,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Penn St.,54,32,22,0,1390,337,75,6,43,220,35,8,122,37,7,26,361.1,159,144,2.79,12,328,92,38,"1,084",313,41,10,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Pittsburgh,41,14,27,0,1008,251,35,8,31,138,39,14,100,16,3,25,260.2,209,169,4.54,3,242,118,23,782,263,41,7,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Portland St.,46,28,18,0,1207,332,45,8,33,225,56,12,164,29,10,24,302.1,176,154,3.57,8,269,120,27,907,245,35,8,No,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
Prairie View,48,20,28,0,1231,340,59,7,31,216,54,8,179,12,10,39,309.1,301,251,5.68,1,198,150,17,928,299,77,3,Yes,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Presbyterian,51,36,15,0,1293,384,70,4,47,245,53,7,126,17,16,26,332,143,107,2.26,15,401,133,31,996,220,45,5,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Princeton,44,27,15,2,1183,349,70,4,15,187,50,12,82,13,10,24,295.1,144,126,2.99,8,353,167,36,886,284,43,7,Yes,No,No,Ivy,1,0,,,,,,,,,,,,,,,,,,,
Providence,46,25,21,0,1191,280,52,3,35,183,35,8,147,28,3,9,307,183,141,3.21,3,324,112,21,919,311,51,8,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
Purdue,55,24,31,0,1386,352,61,12,34,188,26,7,140,34,18,21,349,280,243,4.87,4,220,163,27,"1,047",431,44,11,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Purdue Fort Wayne,49,7,42,0,1145,250,51,5,21,132,48,16,121,23,8,28,297.2,343,271,6.37,1,169,185,21,893,406,80,9,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Quinnipiac,41,12,29,0,1021,236,49,6,14,128,31,10,91,25,7,20,255.2,254,194,5.31,0,154,116,23,767,312,63,11,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Radford,48,19,29,0,1218,287,53,1,42,175,33,6,118,19,5,38,312,198,138,3.1,3,183,123,58,935,347,57,13,No,No,No,Big South,1,0,,,,,,,,,,,,,,,,,,,
Rhode Island,46,11,35,0,1206,296,46,7,11,145,47,13,109,5,11,31,305,281,235,5.39,2,192,158,20,915,409,63,11,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
Rider,54,28,25,1,1508,444,61,7,12,228,19,7,81,26,7,30,354.2,180,124,2.45,11,270,137,52,"1,064",382,80,10,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Robert Morris,52,31,21,0,1436,370,66,9,27,230,55,6,149,36,10,27,358.1,196,156,3.05,5,311,138,28,"1,075",381,66,6,No,No,No,Horizon,1,0,,,,,,,,,,,,,,,,,,,
Rutgers,53,25,28,0,1336,365,71,7,30,232,61,18,160,53,17,28,345.2,257,208,4.21,7,291,185,44,"1,037",256,39,10,No,No,No,Big Ten,7,1,,,,,,,,,,,,,,,,,,,
Sacramento St.,55,30,25,0,1437,414,65,5,55,259,27,11,139,18,10,32,357.2,241,179,3.5,9,248,107,33,"1,073",398,63,20,No,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
Sacred Heart,55,13,42,0,1391,333,51,6,28,153,16,3,132,21,11,20,347.2,359,291,5.86,2,263,181,34,"1,043",280,71,7,No,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
Saint Francis (PA),53,37,16,0,1391,418,72,10,45,278,52,13,132,52,17,24,341.2,137,101,2.07,13,304,147,19,"1,025",440,45,15,Yes,No,No,Northeast,1,0,,,,,,,,,,,,,,,,,,,
Saint Joseph's,46,23,23,0,1227,303,47,4,18,178,63,10,157,19,7,16,303.2,161,138,3.18,5,185,147,16,911,404,48,20,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
Saint Louis,51,22,29,0,1303,329,73,15,24,199,51,12,152,27,11,26,337.2,219,180,3.73,5,215,162,27,"1,013",478,51,12,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
Saint Mary's (CA),47,16,31,0,1149,264,34,13,7,126,30,11,74,34,10,26,297.2,261,198,4.66,4,212,156,47,893,355,66,13,No,No,No,WCC,1,0,,,,,,,,,,,,,,,,,,,
Saint Peter's,55,22,33,0,1418,355,63,6,16,199,64,15,78,33,11,32,355.1,258,227,4.47,6,152,103,25,"1,063",407,49,14,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
Sam Houston St.,54,15,39,0,1417,330,56,8,35,197,45,11,149,49,15,24,358.2,312,259,5.05,3,213,229,30,"1,076",416,64,14,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Samford,53,34,19,0,1442,382,61,7,30,210,50,9,151,12,7,33,368.1,143,115,2.19,14,272,98,17,"1,105",405,48,15,No,No,No,Southern,1,0,,,,,,,,,,,,,,,,,,,
San Diego,54,20,34,0,1411,341,51,10,21,173,23,8,123,27,6,24,357,275,222,4.35,2,272,218,31,"1,071",435,57,13,No,No,No,WCC,1,0,,,,,,,,,,,,,,,,,,,
San Diego St.,51,37,14,0,1399,418,61,13,32,265,86,22,150,34,11,25,354.2,139,106,2.09,9,411,64,24,"1,064",327,43,16,Yes,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
San Jose St.,51,22,29,0,1351,361,60,12,36,210,21,5,158,23,5,29,340,210,178,3.66,4,264,126,30,"1,020",319,50,14,No,No,No,MWC,1,0,,,,,,,,,,,,,,,,,,,
Santa Clara,51,21,30,0,1298,342,58,12,8,178,54,9,101,32,12,38,331.1,247,190,4.01,7,92,88,26,994,398,69,30,No,No,No,WCC,1,0,,,,,,,,,,,,,,,,,,,
Seattle U,56,32,24,0,1490,389,64,11,33,226,30,11,137,32,7,16,373.1,199,158,2.96,7,298,135,20,"1,120",491,57,10,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Seton Hall,43,20,23,0,1192,341,75,9,30,203,38,8,105,27,11,10,286.2,206,159,3.88,4,201,114,36,860,343,60,6,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
SFA,56,31,25,0,1429,372,70,6,45,224,13,5,170,38,12,42,367.2,197,169,3.22,11,350,160,31,"1,103",306,50,8,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Siena,55,32,23,0,1506,423,72,7,18,246,39,6,142,36,18,39,373.2,193,167,3.13,5,301,138,32,"1,121",392,43,12,No,No,No,MAAC,1,0,,,,,,,,,,,,,,,,,,,
SIUE,54,19,35,0,1446,372,65,3,39,198,35,5,119,19,10,20,351.1,299,238,4.74,4,213,169,42,"1,054",371,71,17,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
South Alabama,46,25,21,0,1158,288,37,14,37,178,43,13,122,19,9,25,305,133,113,2.59,11,327,87,23,915,215,34,11,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
South Carolina,56,26,30,0,1447,397,65,11,38,281,62,12,186,51,14,14,365,283,222,4.26,2,242,184,35,"1,095",410,77,29,No,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
South Carolina St.,40,3,37,0,922,194,17,6,10,88,38,10,89,26,1,15,229.1,355,301,9.19,1,68,148,23,688,281,79,15,No,No,No,MEAC,1,0,,,,,,,,,,,,,,,,,,,
South Dakota,53,28,25,0,1434,410,75,9,35,264,36,8,139,19,7,11,341,264,189,3.88,9,211,164,13,"1,023",522,75,24,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
South Dakota St.,51,40,11,0,1425,431,76,7,74,311,17,8,160,22,16,9,340.2,110,88,1.81,20,404,132,19,"1,022",278,25,11,Yes,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
South Fla.,58,44,14,0,1446,389,70,8,29,258,120,15,163,30,15,34,389,118,90,1.62,26,470,88,38,"1,167",404,46,15,Yes,No,No,AAC,3,1,,,,,,,,,,,,,,,,,,,
Southeast Mo. St.,54,30,24,0,1406,384,67,8,38,270,58,15,132,25,12,16,347.2,209,175,3.52,6,323,135,24,"1,043",335,47,10,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Southeastern La.,56,40,16,0,1463,488,92,17,32,341,150,18,150,29,13,33,352.2,181,141,2.8,12,325,137,23,"1,058",298,59,14,No,No,No,Southland,1,0,,,,,,,,,,,,,,,,,,,
Southern Ill.,47,27,19,1,1315,382,46,5,42,283,43,13,218,51,14,18,323.2,180,148,3.2,6,236,140,33,971,346,48,18,No,No,No,MVC,1,0,,,,,,,,,,,,,,,,,,,
Southern Miss.,52,29,23,0,1397,378,51,13,48,225,51,6,155,28,13,7,356.1,198,160,3.14,5,248,105,21,"1,069",456,64,20,No,No,No,C-USA,1,0,,,,,,,,,,,,,,,,,,,
Southern U.,50,16,34,0,1263,308,53,10,18,177,62,22,108,24,6,30,317,324,264,5.83,2,147,150,17,951,295,84,9,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Southern Utah,43,3,40,0,969,192,37,4,13,87,18,6,72,29,2,5,243.1,368,302,8.69,0,134,200,12,730,313,74,11,No,No,No,Big Sky,1,0,,,,,,,,,,,,,,,,,,,
St. Bonaventure,46,8,38,0,1113,224,38,3,12,103,28,8,118,22,5,19,285.2,262,194,4.75,2,188,115,11,857,316,73,13,No,No,No,Atlantic 10,1,0,,,,,,,,,,,,,,,,,,,
St. John's (NY),47,12,35,0,1110,218,34,4,11,91,49,16,94,23,5,19,292,238,187,4.48,4,210,112,24,876,364,84,13,No,No,No,Big East,1,0,,,,,,,,,,,,,,,,,,,
St. Thomas (MN),50,14,36,0,1267,312,34,3,31,172,38,7,132,20,8,19,312.1,300,269,6.03,1,185,183,25,937,374,56,19,No,No,No,Summit,1,0,,,,,,,,,,,,,,,,,,,
Stanford,55,36,19,0,1431,387,64,23,24,229,47,7,103,30,11,14,362.2,123,105,2.03,19,277,83,29,"1,088",474,40,19,Yes,Yes,No,Pac-12,7,3,,,,,,,,,,,,,,,,,,,
Stetson,56,21,35,0,1402,323,41,5,33,165,69,12,104,30,12,29,375,244,210,3.92,5,218,186,52,"1,125",427,50,24,No,No,No,ASUN,1,0,,,,,,,,,,,,,,,,,,,
Stony Brook,47,31,16,0,1251,340,61,9,31,220,49,10,94,33,5,36,312.2,138,107,2.4,14,402,112,18,938,229,37,6,No,No,No,America East,1,0,,,,,,,,,,,,,,,,,,,
Syracuse,47,26,21,0,1203,330,55,7,34,218,55,14,118,33,15,14,298,165,143,3.36,6,265,117,32,894,343,48,12,No,No,No,ACC,7,4,,,,,,,,,,,,,,,,,,,
Tarleton St.,52,29,23,0,1432,418,73,10,45,269,25,3,145,44,6,24,344.1,215,181,3.68,2,238,196,44,"1,033",421,50,17,No,No,No,WAC,1,0,,,,,,,,,,,,,,,,,,,
Tennessee,55,39,16,0,1444,410,74,9,88,333,84,9,195,90,11,9,366,174,152,2.91,9,322,131,54,"1,098",340,38,17,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Tennessee St.,54,15,39,0,1242,230,41,7,2,93,37,17,89,21,6,19,334,264,208,4.36,5,174,110,25,"1,002",406,81,18,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Tennessee Tech,54,32,22,0,1437,397,62,7,57,302,54,6,164,20,7,28,344.2,232,201,4.08,9,220,133,27,"1,034",356,52,13,No,No,No,OVC,1,0,,,,,,,,,,,,,,,,,,,
Texas,56,38,17,1,1479,461,96,12,55,341,89,10,192,21,20,22,364.1,211,172,3.3,11,390,139,26,"1,093",354,68,17,Yes,Yes,Yes,Big 12,3,2,,,,,,,,,,,,,,,,,,,
Texas A&M,55,29,26,0,1414,396,65,8,65,311,79,11,233,22,11,7,352.2,222,181,3.59,6,298,196,45,"1,058",424,57,26,Yes,No,No,SEC,12,5,,,,,,,,,,,,,,,,,,,
Texas Southern,46,26,20,0,1187,320,40,6,27,219,49,5,148,18,14,24,294.2,170,133,3.16,4,167,119,26,880,376,54,11,No,No,No,SWAC,1,0,,,,,,,,,,,,,,,,,,,
Texas St.,57,38,19,0,1500,421,54,10,24,265,90,15,191,20,13,22,374,162,129,2.41,13,341,126,29,"1,122",361,62,16,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
Texas Tech,49,22,27,0,1165,290,62,6,36,189,29,7,130,28,9,14,302.1,240,198,4.58,9,228,153,40,907,261,49,10,No,No,No,Big 12,3,2,,,,,,,,,,,,,,,,,,,
Toledo,49,12,37,0,1285,321,68,4,36,228,43,8,150,36,11,17,308.1,345,283,6.42,1,173,171,13,925,299,80,6,No,No,No,MAC,1,0,,,,,,,,,,,,,,,,,,,
Towson,47,14,33,0,1194,301,40,17,23,152,34,6,82,22,9,19,296,273,241,5.7,1,161,135,41,888,343,59,16,No,No,No,CAA,1,0,,,,,,,,,,,,,,,,,,,
Troy,52,31,21,0,1291,328,65,4,45,214,29,3,167,23,8,21,337.1,174,144,2.99,10,370,186,37,"1,012",251,32,7,No,No,No,Sun Belt,1,0,,,,,,,,,,,,,,,,,,,
