Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
A&M-Corpus Christi,49,20,28,1,1335,356,49,6,23,170,39,12,,,,,333.2,210,164,3.44,,1001,363,60,14,No,No,Southland,1,0
Abilene Christian,47,14,33,0,1256,359,48,17,36,225,44,16,99,22,5,30,298.2,314,265,6.21,26,896,297,57,12,No,No,Southland,1,0
Akron,51,25,26,0,1252,324,62,11,24,175,63,28,,,,,344.1,194,136,2.76,,1033,404,50,4,No,No,MAC,1,0
Alabama,54,42,12,0,1392,458,83,16,49,361,85,17,237,22,18,40,351,118,95,1.89,,1053,286,34,16,At-large,Yes,SEC,11,7
Alabama A&M,43,18,25,0,1175,353,52,12,18,268,54,4,,,,,269,250,211,5.49,,807,407,81,10,No,No,SWAC,1,0
Alabama St.,54,21,33,0,1472,472,79,22,30,272,77,18,,,,,346.1,338,255,5.15,,1039,487,99,19,No,No,SWAC,1,0
Albany (NY),48,30,18,0,1264,386,72,13,40,247,61,20,,,,,314,199,161,3.59,10,942,380,50,17,No,No,America East,1,0
Alcorn,32,2,30,0,713,164,23,6,4,77,23,6,,,,,171.1,340,265,10.83,,514,205,64,7,No,No,SWAC,1,0
Appalachian St.,49,14,35,0,1236,330,44,6,45,215,24,10,,,,,295.1,369,300,7.11,,886,368,73,12,No,No,Sun Belt,2,1
Arizona,55,38,17,0,1477,531,69,10,98,438,48,1,238,28,16,22,337.2,247,201,4.17,,1013,434,61,24,At-large,No,Pac-12,7,4
Arizona St.,54,34,20,0,1554,502,87,2,81,379,12,6,258,20,19,3,364.1,266,232,4.46,15,1093,429,48,31,At-large,No,Pac-12,7,4
Ark.-Pine Bluff,40,6,34,0,999,254,34,4,17,150,16,6,,,,,234.2,351,270,8.05,,704,329,99,8,No,No,SWAC,1,0
Arkansas,53,16,37,0,1352,336,38,10,31,192,52,10,,,,,338,350,273,5.65,,1014,488,72,9,No,No,SEC,11,7
Army West Point,51,23,27,1,1427,380,66,4,17,213,50,14,,,,,349.1,258,203,4.07,,1048,501,62,10,No,No,Patriot,1,0
Auburn,58,49,9,0,1525,535,84,10,94,478,24,3,297,60,24,16,362.1,207,185,3.57,,1087,421,36,31,Auto,Yes,SEC,11,7
Austin Peay,46,9,37,0,1202,313,49,2,36,193,42,6,,,,,290.1,363,293,7.06,,871,397,90,27,No,No,OVC,1,0
Ball St.,56,33,23,0,1536,466,83,14,54,355,78,17,,,,,371,286,224,4.23,,1113,453,76,18,Auto,No,MAC,1,0
Baylor,53,38,15,0,1407,449,80,9,42,265,83,20,,,,,352.1,147,125,2.48,,1057,398,47,10,At-large,No,Big 12,4,1
Belmont,45,13,32,0,1153,303,52,9,11,158,28,11,,,,,285,264,219,5.38,,855,347,55,11,No,No,OVC,1,0
Bethune-Cookman,51,22,29,0,1367,383,46,13,13,225,62,8,,,,,330.1,233,184,3.9,,991,441,85,22,No,No,MEAC,1,0
Binghamton,43,24,19,0,1157,349,58,8,43,256,57,17,,,,,280.1,264,216,5.39,,840,395,58,17,Auto,No,America East,1,0
Boise St.,54,12,42,0,1435,392,89,4,41,249,52,18,,,,,350,388,307,6.14,,1050,434,84,21,No,No,MWC,2,0
Boston College,51,27,24,0,1318,331,59,8,28,219,68,13,,,,,337.1,191,155,3.22,,1012,355,52,15,No,No,ACC,7,2
Boston U.,44,17,27,0,1135,317,47,10,11,188,80,10,,,,,279.2,238,179,4.48,,839,309,57,13,No,No,Patriot,1,0
Bowling Green,48,20,28,0,1237,307,41,8,27,163,42,11,,,,,315,208,154,3.42,,945,422,73,10,No,No,MAC,1,0
Bradley,54,22,32,0,1496,445,71,8,27,258,50,8,,,,,352,301,242,4.81,,1056,418,71,14,No,No,MVC,1,0
Brown,34,13,21,0,875,236,53,0,15,119,36,7,,,,,217.2,154,100,3.22,,653,308,57,5,No,No,Ivy,1,0
Bryant,49,17,32,0,1244,323,54,6,55,203,23,11,,,,,302,246,194,4.5,,906,398,64,8,No,No,Northeast,1,0
Bucknell,55,35,20,0,1460,420,78,3,19,280,79,16,,,,,362.2,236,200,3.86,,1088,396,63,21,No,No,Patriot,1,0
Buffalo,50,13,37,0,1328,364,67,3,27,181,21,9,,,,,319.1,333,239,5.24,,958,487,120,18,No,No,MAC,1,0
Butler,51,24,27,0,1375,391,68,4,34,218,51,8,,,,,339,231,208,4.29,,1017,393,49,15,No,No,Big East,1,0
BYU,51,39,12,0,1334,447,63,10,45,318,66,12,172,30,17,60,330.2,173,146,3.09,,992,343,64,20,Auto,No,WCC,1,0
Cal Poly,55,22,33,0,1439,362,65,9,21,161,14,15,,,,,380,199,162,2.98,,1140,349,49,11,No,No,Big West,1,0
Cal St. Fullerton,56,34,22,0,1490,465,71,12,26,278,49,8,,,,,371,228,195,3.68,,1113,477,41,22,No,No,Big West,1,0
California,54,38,16,0,1440,481,60,13,49,325,49,6,191,25,8,30,346.2,212,187,3.78,16,1039,310,45,18,At-large,No,Pac-12,7,4
Campbell,55,28,27,0,1505,442,67,3,44,247,76,24,,,,,370.2,216,157,2.96,,1112,417,77,13,No,No,Big South,1,0
Canisius,45,26,19,0,1140,366,53,21,19,248,67,24,,,,,287,187,155,3.78,,861,393,38,10,No,No,MAAC,1,0
Central Ark.,54,35,19,0,1394,389,89,8,38,294,80,5,,,,,349,197,167,3.35,12,1047,350,48,12,Auto,No,Southland,1,0
Central Conn. St.,43,31,12,0,1166,305,43,5,18,178,27,11,,,,,297,98,74,1.74,,891,208,38,9,Auto,No,Northeast,1,0
Central Mich.,50,27,23,0,1317,355,53,10,30,199,71,22,,,,,341,194,139,2.85,,1020,333,60,12,No,No,MAC,1,0
Charleston So.,59,31,28,0,1455,389,58,5,62,278,43,7,,,,,380.1,258,211,3.88,,1141,397,59,15,No,No,Big South,1,0
Charlotte,51,24,27,0,1340,343,67,12,36,205,45,13,,,,,338.2,192,160,3.31,15,1016,426,55,13,No,No,C-USA,2,0
Chattanooga,48,35,13,0,1280,371,82,6,47,239,6,5,,,,,319.1,173,122,2.67,10,958,417,70,21,Auto,No,Southern,1,0
Cleveland St.,52,23,29,0,1389,398,54,7,70,248,24,12,,,,,340.1,232,187,3.85,11,1021,454,72,16,No,No,Horizon,1,0
Coastal Caro.,57,33,24,0,1431,418,62,4,84,320,64,10,,,,,363.2,209,177,3.41,,1091,578,55,21,No,No,Big South,1,0
Col. of Charleston,53,24,29,0,1344,374,58,13,26,218,60,9,,,,,335.1,249,195,4.07,,1006,341,67,6,No,No,CAA,2,1
Colgate,38,17,21,0,991,259,44,7,30,157,48,9,,,,,246,172,122,3.47,,738,349,67,7,No,No,Patriot,1,0
Colorado St.,56,27,29,0,1487,423,54,10,31,274,60,7,,,,,366,283,209,4,,1098,583,104,23,No,No,MWC,2,0
Columbia,44,16,28,0,1146,279,49,3,16,140,35,6,,,,,286.2,196,150,3.66,,860,338,64,8,No,No,Ivy,1,0
Coppin St.,36,5,31,0,799,176,35,6,13,116,23,3,,,,,200,353,283,9.91,,600,274,67,15,No,No,MEAC,1,0
Cornell,41,17,24,0,1163,370,82,2,20,214,18,9,,,,,263.1,234,196,5.21,,790,297,54,12,No,No,Ivy,1,0
Creighton,43,22,21,0,1108,299,31,7,35,186,30,9,,,,,281.2,180,146,3.63,,845,355,49,9,No,No,Big East,1,0
CSU Bakersfield,46,21,25,0,1191,349,56,9,18,169,22,14,,,,,296.1,225,176,4.16,,889,362,59,20,No,No,WAC,1,0
CSUN,56,41,15,0,1538,480,73,16,43,279,83,18,,,,,383,155,123,2.25,,1149,414,46,15,Auto,No,Big West,1,0
Dartmouth,41,25,16,0,1122,322,53,5,38,192,31,8,,,,,267.1,128,106,2.78,14,802,334,37,11,Auto,No,Ivy,1,0
Dayton,53,39,14,0,1399,407,78,6,30,257,35,13,,,,,358.1,155,118,2.31,,1075,351,52,11,No,No,Atlantic 10,1,0
Delaware,53,30,23,0,1400,426,82,20,39,264,67,24,,,,,338,213,155,3.21,,1013,402,79,12,No,No,CAA,2,1
Delaware St.,44,21,23,0,1200,378,64,8,28,259,54,4,,,,,270.1,271,223,5.77,,811,326,49,4,No,No,MEAC,1,0
DePaul,46,22,24,0,1209,353,65,5,58,245,32,19,,,,,294,268,209,4.98,,882,431,63,17,No,No,Big East,1,0
Detroit Mercy,50,10,40,0,1245,321,47,4,37,196,84,24,,,,,312,342,267,5.99,,936,365,80,7,No,No,Horizon,1,0
Drake,53,32,21,0,1365,353,72,7,45,218,41,15,,,,,346.1,151,119,2.41,,1039,288,59,8,No,No,MVC,1,0
Drexel,42,19,23,0,1144,339,54,5,22,180,22,12,,,,,273,195,137,3.51,12,819,320,66,8,No,No,CAA,2,1
East Carolina,53,16,37,0,1374,324,46,10,28,184,24,7,,,,,352,275,217,4.32,,1056,491,77,16,No,No,AAC,1,0
Eastern Ill.,48,21,27,0,1256,348,65,5,33,192,38,16,,,,,315.1,240,198,4.4,,946,396,60,17,No,No,OVC,1,0
Eastern Ky.,52,24,28,0,1382,373,63,8,47,227,44,8,,,,,337.1,232,196,4.07,,1012,337,56,11,No,No,OVC,1,0
Eastern Mich.,50,18,32,0,1352,366,57,4,41,200,54,13,,,,,328.1,316,259,5.52,,980,426,70,12,No,No,MAC,1,0
Elon,53,31,22,0,1355,353,68,11,25,218,46,21,,,,,346,235,182,3.68,,1038,389,60,18,No,No,CAA,2,1
ETSU,48,15,33,0,1315,353,49,4,42,212,38,7,,,,,317.1,306,246,5.43,,948,368,70,15,No,No,Southern,1,0
Evansville,55,10,45,0,1437,368,60,11,42,204,18,10,,,,,346.1,398,327,6.61,,1039,344,92,11,No,No,MVC,1,0
Fairfield,47,25,22,0,1289,378,51,6,19,228,54,11,,,,,321.2,205,177,3.85,,965,375,42,8,Auto,No,MAAC,1,0
Fairleigh Dickinson,36,16,20,0,949,251,58,3,29,130,31,11,,,,,237.1,169,139,4.1,,712,272,39,11,No,No,Northeast,1,0
FGCU,53,23,30,0,1343,356,37,8,18,202,80,12,,,,,342,268,193,3.95,,1026,532,77,16,No,No,Atlantic Sun,1,0
FIU,54,30,24,0,1372,394,78,12,28,256,51,13,,,,,345.1,224,192,3.89,,1036,414,56,24,No,No,C-USA,2,0
Fla. Atlantic,55,37,17,1,1440,413,57,9,23,252,80,17,,,,,372.2,138,99,1.86,,1118,459,57,20,At-large,No,C-USA,2,0
Florida,56,50,6,0,1372,428,72,12,70,396,74,9,247,108,20,33,358.1,114,94,1.84,,1075,337,28,17,At-large,Yes,SEC,11,7
Florida A&M,55,18,37,0,1422,343,39,6,12,181,91,18,,,,,358.2,318,235,4.59,,1076,374,104,12,Auto,No,MEAC,1,0
Florida St.,57,45,12,0,1445,424,63,16,46,316,44,10,,,,,379.2,137,104,1.92,,1139,379,59,16,Auto,No,ACC,7,2
Fordham,54,36,18,0,1486,463,74,10,48,307,36,11,,,,,357.2,179,148,2.9,,1073,355,49,10,Auto,No,Atlantic 10,1,0
Fresno St.,54,40,14,0,1453,476,67,19,27,317,56,9,192,39,13,17,356,151,121,2.38,,1068,365,57,12,Auto,No,MWC,2,0
Furman,56,31,25,0,1524,384,71,10,54,221,42,7,,,,,395.2,203,175,3.1,,1187,474,45,20,No,No,Southern,1,0
Ga. Southern,51,12,39,0,1321,330,56,5,29,181,19,1,,,,,331.2,345,276,5.83,,995,409,96,18,No,No,Sun Belt,2,1
Gardner-Webb,50,15,35,0,1369,387,53,8,31,194,33,7,,,,,324,325,273,5.9,,972,446,58,13,No,No,Big South,1,0
George Mason,52,23,29,0,1417,390,48,13,22,230,49,15,,,,,351.1,255,190,3.79,,1054,489,66,21,No,No,Atlantic 10,1,0
George Washington,48,25,23,0,1214,342,68,13,21,235,102,25,,,,,308.1,223,175,3.97,,925,498,56,25,No,No,Atlantic 10,1,0
Georgetown,47,15,32,0,1208,301,44,5,17,155,44,15,,,,,306,231,182,4.16,,918,275,52,11,No,No,Big East,1,0
Georgia,54,40,14,0,1412,494,75,15,53,389,113,8,155,40,17,30,340,147,103,2.12,,1020,351,62,8,At-large,No,SEC,11,7
Georgia St.,60,38,22,0,1613,539,92,10,102,419,53,4,210,37,17,39,382.2,328,288,5.27,,1148,495,38,23,No,No,Sun Belt,2,1
Georgia Tech,50,16,34,0,1193,280,48,8,35,175,25,5,,,,,307.1,241,215,4.9,,922,244,41,6,No,No,ACC,7,2
Grambling,38,9,29,0,962,239,32,6,6,128,48,4,,,,,241,276,228,6.62,,723,248,69,9,No,No,SWAC,1,0
Grand Canyon,50,28,22,0,1372,460,68,6,44,308,23,7,142,36,14,37,322.2,248,221,4.79,50,968,367,36,17,No,No,WAC,1,0
Green Bay,46,18,28,0,1240,366,61,10,34,215,24,12,,,,,290,268,228,5.5,15,870,329,45,10,No,No,Horizon,1,0
Hampton,48,22,26,0,1242,343,51,5,18,205,41,7,,,,,303,210,158,3.65,,909,350,45,15,No,No,MEAC,1,0
Hartford,46,3,43,0,1089,227,39,7,9,95,23,10,,,,,269.2,363,309,8.02,,809,314,63,13,No,No,America East,1,0
Harvard,44,23,21,0,1192,336,38,12,25,208,65,21,,,,,294,163,137,3.26,,882,301,53,9,No,No,Ivy,1,0
Hawaii,54,32,22,0,1370,363,53,3,56,251,29,8,,,,,359.1,185,134,2.61,,1078,507,75,17,No,No,MWC,2,0
Hofstra,50,37,12,1,1341,387,43,5,56,274,28,9,,,,,343.2,119,97,1.98,,1031,417,38,14,Auto,No,CAA,2,1
Holy Cross,28,11,17,0,754,189,27,5,9,94,26,11,,,,,189.1,153,124,4.58,,568,227,34,5,No,No,Patriot,1,0
Houston,55,28,27,0,1412,390,63,9,41,259,53,9,,,,,362.1,234,184,3.55,,1087,540,70,28,No,No,AAC,1,0
Houston Baptist,45,13,32,0,1142,307,50,7,16,154,19,1,,,,,277.1,292,249,6.28,,832,328,56,9,No,No,Southland,1,0
Howard,43,14,29,0,1094,331,70,3,16,216,34,8,,,,,245.2,329,230,6.55,,737,401,95,7,No,No,MEAC,1,0
Idaho St.,52,34,18,0,1382,450,79,16,49,342,88,9,,,,,326,206,183,3.93,,978,443,42,24,No,No,Big Sky,1,0
Illinois,53,26,27,0,1456,472,93,6,68,324,35,11,,,,,332.2,365,281,5.91,,998,430,68,19,No,No,Big Ten,4,1
Illinois St.,56,25,31,0,1443,396,58,4,70,256,33,5,,,,,353.2,306,262,5.19,,1061,535,61,14,No,No,MVC,1,0
Incarnate Word,51,12,39,0,1288,331,29,6,18,174,46,11,92,34,9,77,323.1,307,258,5.59,23,970,467,65,10,No,No,Southland,1,0
Indiana,56,17,39,0,1498,431,68,3,51,282,30,8,,,,,355.1,428,353,6.95,,1066,466,96,24,No,No,Big Ten,4,1
Indiana St.,55,26,29,0,1445,413,67,6,22,235,60,27,,,,,370.1,284,231,4.37,15,1111,416,56,22,Auto,No,MVC,1,0
Iona,44,16,28,0,1185,311,46,2,33,168,23,2,,,,,287,256,205,5,,861,341,61,11,No,No,MAAC,1,0
Iowa,59,19,40,0,1511,394,82,9,35,239,18,4,,,,,365,394,352,6.75,,1095,514,55,35,No,No,Big Ten,4,1
Iowa St.,54,26,28,0,1436,418,47,10,40,227,52,12,,,,,351,282,241,4.81,,1053,393,48,15,No,No,Big 12,4,1
IUPUI,51,33,18,0,1350,374,76,8,57,270,75,15,,,,,340.1,171,124,2.55,,1021,360,76,10,No,No,Summit,1,0
Jackson St.,49,23,26,0,1225,326,52,10,9,241,132,29,,,,,317.1,286,216,4.76,,952,358,82,13,No,No,SWAC,1,0
Jacksonville,56,28,28,0,1477,419,67,13,43,267,77,17,,,,,378.1,256,160,2.96,,1135,551,100,17,No,No,Atlantic Sun,1,0
Jacksonville St.,55,38,17,0,1515,487,94,4,58,318,40,2,,,,,362.1,162,139,2.69,,1087,500,47,19,No,No,OVC,1,0
James Madison,55,47,8,0,1436,503,92,22,55,335,85,30,,,,,353.1,104,84,1.66,,1060,357,43,13,At-large,No,CAA,2,1
Kansas,51,38,13,0,1360,434,76,2,52,319,25,7,222,23,12,39,337,198,177,3.68,,1011,346,34,8,At-large,No,Big 12,4,1
Kennesaw St.,51,32,19,0,1389,422,71,15,43,273,74,16,,,,,341.2,233,192,3.93,,1025,404,63,22,No,No,Atlantic Sun,1,0
Kent St.,54,41,13,0,1422,401,61,10,54,257,65,16,,,,,361,110,80,1.55,,1083,281,46,6,No,No,MAC,1,0
Kentucky,53,29,24,0,1369,346,52,5,44,209,55,15,,,,,358.2,166,144,2.81,,1076,468,48,14,At-large,No,SEC,11,7
La Salle,37,15,22,0,943,227,32,2,32,140,18,13,,,,,245,165,115,3.29,7,735,360,62,12,No,No,Atlantic 10,1,0
La.-Monroe,52,30,22,0,1366,406,69,13,27,284,143,27,,,,,338.1,242,193,3.99,,1015,317,49,11,No,No,Sun Belt,2,1
Lafayette,41,4,37,0,978,213,32,3,5,77,6,7,,,,,242,287,229,6.62,,726,367,51,13,No,No,Patriot,1,0
Lamar University,54,26,28,0,1384,383,78,14,21,285,73,20,,,,,345.2,279,218,4.41,,1037,522,86,25,No,No,Southland,1,0
Lehigh,46,39,7,0,1271,397,56,13,17,244,43,11,,,,,313.2,91,67,1.5,,941,406,38,13,Auto,No,Patriot,1,0
Liberty,59,29,30,0,1555,423,71,7,32,236,91,21,,,,,389.2,275,203,3.65,,1169,494,104,19,No,No,Big South,1,0
Lipscomb,56,31,25,0,1449,405,65,11,34,267,84,15,,,,,365.1,211,158,3.03,,1096,313,46,9,No,No,Atlantic Sun,1,0
LIU Brooklyn,53,23,30,0,1350,366,65,10,43,246,41,4,,,,,325,319,279,6.01,,975,460,51,20,No,No,Northeast,1,0
LMU (CA),54,26,28,0,1349,377,80,2,48,234,17,3,,,,,349.2,232,182,3.64,,1049,538,59,23,No,No,WCC,1,0
Long Beach St.,52,28,24,0,1407,396,68,4,40,252,29,8,,,,,352,219,175,3.48,,1056,351,58,8,No,No,Big West,1,0
Longwood,56,33,23,0,1447,413,66,6,83,328,83,20,,,,,358,237,203,3.97,,1074,395,60,17,Auto,No,Big South,1,0
Louisiana,48,39,9,0,1274,447,63,9,106,401,59,10,216,44,23,10,294,114,91,2.17,,882,249,29,13,At-large,No,Sun Belt,2,1
Louisiana Tech,50,31,19,0,1314,386,59,5,46,253,64,16,,,,,334.1,180,139,2.91,,1001,476,58,23,No,No,C-USA,2,0
Louisville,47,30,17,0,1291,398,80,6,42,257,21,8,,,,,314.1,160,124,2.76,12,940,487,45,19,At-large,No,ACC,7,2
Loyola Chicago,50,15,35,0,1355,339,61,5,32,182,35,11,,,,,332,271,223,4.7,15,996,485,71,17,No,No,MVC,1,0
LSU,55,44,11,0,1382,474,77,19,56,369,58,12,223,19,23,22,344.2,126,93,1.89,,1034,294,57,10,At-large,Yes,SEC,11,7
Maine,44,22,22,0,1159,291,41,8,25,182,49,8,,,,,298.1,142,116,2.72,13,895,305,45,4,No,No,America East,1,0
Manhattan,46,26,20,0,1215,342,71,2,45,234,17,7,,,,,304.1,177,151,3.47,,913,333,40,18,No,No,MAAC,1,0
Marist,54,28,26,0,1547,465,70,4,43,293,97,17,,,,,370.1,224,174,3.29,,1111,517,66,25,No,No,MAAC,1,0
Marshall,50,35,15,0,1343,464,66,7,18,270,153,41,,,,,331,164,127,2.69,,993,235,66,15,No,No,C-USA,2,0
Maryland,54,27,27,0,1484,458,98,6,69,339,38,6,,,,,356,303,233,4.58,16,1068,436,85,19,No,No,Big Ten,4,1
