Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Massachusetts,43,15,28,0,1087,289,49,5,39,165,10,2,,,,,271,256,193,4.99,,813,445,73,12,No,No,Atlantic 10,1,0
McNeese,56,36,20,0,1460,428,80,13,46,284,131,36,,,,,379.1,197,152,2.8,,1141,385,69,17,No,No,Southland,1,0
Memphis,53,19,34,0,1353,341,40,11,18,182,49,13,,,,,335.1,275,232,4.84,,1006,316,61,9,No,No,AAC,1,0
Mercer,59,37,22,0,1585,482,62,17,48,325,89,15,,,,,387.2,227,194,3.5,,1163,346,74,9,No,No,Southern,1,0
Miami (OH),56,32,24,0,1549,444,68,14,19,244,38,12,,,,,387.1,215,175,3.16,,1162,414,60,11,No,No,MAC,1,0
Michigan,57,51,6,0,1454,498,81,9,107,470,67,12,282,56,15,18,345.1,97,73,1.48,,1036,314,35,9,Auto,Yes,Big Ten,4,1
Michigan St.,55,19,36,0,1442,399,69,6,38,251,51,6,,,,,359.1,343,286,5.57,,1078,427,77,27,No,No,Big Ten,4,1
Middle Tenn.,51,22,29,0,1338,397,66,10,18,235,69,14,,,,,324.2,268,208,4.48,,974,424,88,18,No,No,C-USA,2,0
Minnesota,55,46,9,0,1464,500,102,11,77,393,99,19,197,73,9,12,349,152,114,2.29,,1047,344,40,15,At-large,No,Big Ten,4,1
Mississippi St.,54,35,19,0,1448,460,81,16,52,320,95,14,182,70,13,25,356.1,243,193,3.79,,1069,413,54,21,At-large,No,SEC,11,7
Mississippi Val.,49,15,34,0,1213,295,66,7,17,183,32,6,,,,,299.1,390,315,7.37,,898,344,82,9,No,No,SWAC,1,0
Missouri,53,39,14,0,1420,456,59,9,72,366,103,10,248,30,13,12,339,203,149,3.08,,1017,400,64,18,At-large,No,SEC,11,7
Missouri St.,55,30,25,0,1424,390,54,7,48,226,49,14,,,,,368,234,183,3.48,13,1104,399,58,22,No,No,MVC,1,0
Monmouth,44,19,25,0,1185,350,64,7,18,216,44,10,,,,,283.2,245,196,4.84,,851,430,57,19,No,No,MAAC,1,0
Montana,50,16,34,0,1347,377,68,9,28,223,35,6,,,,,319.2,276,217,4.75,,959,332,57,9,No,No,Big Sky,1,0
Morehead St.,46,22,24,0,1168,310,37,5,27,171,38,3,,,,,293,213,156,3.73,,879,450,57,16,No,No,OVC,1,0
Morgan St.,38,8,30,0,945,231,36,4,15,128,30,10,,,,,231.2,274,226,6.83,16,695,275,61,14,No,No,MEAC,1,0
Mt. St. Mary's,44,11,33,0,1046,241,33,2,28,134,25,13,,,,,263.1,305,239,6.35,,790,311,62,18,No,No,Northeast,1,0
Murray St.,57,38,19,0,1516,478,87,10,49,324,48,13,,,,,370,181,158,2.99,,1110,516,63,32,No,No,OVC,1,0
N.C. A&T,46,15,31,0,1203,316,37,8,16,174,54,6,,,,,288.2,288,211,5.12,,866,305,79,19,No,No,MEAC,1,0
N.C. Central,45,18,27,0,1134,313,41,6,29,190,33,14,,,,,283.2,264,195,4.81,,851,300,83,9,No,No,MEAC,1,0
NC State,55,35,20,0,1458,397,62,6,69,300,37,11,,,,,357.1,166,130,2.55,,1072,384,54,23,At-large,No,ACC,7,2
Nebraska,55,34,21,0,1469,502,82,8,52,391,40,6,211,50,16,22,340.2,260,225,4.62,,1022,494,56,27,At-large,No,Big Ten,4,1
Nevada,53,16,37,0,1463,435,73,6,33,243,55,10,,,,,347.1,343,267,5.38,,1042,390,70,17,No,No,MWC,2,0
New Mexico,54,29,25,0,1447,432,71,12,43,272,36,14,,,,,362.1,270,213,4.11,,1087,460,78,24,No,No,MWC,2,0
New Mexico St.,60,46,14,0,1621,574,96,11,102,454,56,19,273,34,25,16,387.1,298,236,4.27,,1162,435,68,31,Auto,No,WAC,1,0
Niagara,44,4,40,0,1051,239,31,2,5,87,19,5,,,,,262.1,315,256,6.83,13,787,399,64,16,No,No,MAAC,1,0
Nicholls St.,48,26,22,0,1337,404,49,16,15,265,58,9,,,,,316.2,233,190,4.2,,950,376,53,11,No,No,Southland,1,0
Norfolk St.,41,14,27,0,1070,293,47,3,16,162,8,4,,,,,262.1,231,149,3.98,13,787,344,106,15,No,No,MEAC,1,0
North Carolina,50,36,14,0,1309,432,65,9,88,352,27,4,212,32,6,27,317.1,182,151,3.33,,952,432,38,21,At-large,No,ACC,7,2
North Dakota,55,12,43,0,1363,337,73,1,47,201,10,6,,,,,325,460,364,7.84,,975,371,101,11,No,No,Summit,1,0
North Dakota St.,52,43,9,0,1395,470,92,10,51,345,120,29,,,,,333.1,142,118,2.48,,1000,249,36,6,Auto,No,Summit,1,0
North Florida,59,31,28,0,1504,404,60,10,30,240,47,11,,,,,389.2,257,207,3.72,,1166,490,65,15,No,No,Atlantic Sun,1,0
North Texas,50,19,31,0,1300,355,49,9,49,221,35,12,,,,,320.2,279,248,5.41,,962,365,30,6,No,No,C-USA,2,0
Northern Colo.,43,17,25,1,1149,342,60,10,48,249,46,12,,,,,272.2,270,218,5.6,,817,470,49,11,No,No,Big Sky,1,0
Northern Ill.,53,28,25,0,1432,397,59,13,44,237,54,16,,,,,357.2,222,171,3.35,,1073,471,86,21,No,No,MAC,1,0
Northern Ky.,48,6,42,0,1165,292,64,8,29,150,11,6,122,16,13,13,281.1,389,320,7.96,31,850,384,66,15,No,No,Horizon,1,0
Northwestern,49,28,21,0,1284,400,62,6,60,311,53,12,,,,,308,253,216,4.91,,924,310,49,17,At-large,No,Big Ten,4,1
Northwestern St.,54,36,18,0,1464,457,89,9,82,328,13,4,,,,,349.1,199,149,2.99,,1048,367,75,12,No,No,Southland,1,0
Notre Dame,53,40,13,0,1441,502,82,7,51,360,73,8,145,37,16,25,335,162,136,2.84,10,1005,317,37,8,At-large,No,ACC,7,2
Oakland,49,27,22,0,1359,408,54,11,41,233,72,8,,,,,329.2,183,131,2.78,,989,395,57,9,Auto,No,Horizon,1,0
Ohio,47,15,32,0,1186,317,49,7,26,192,39,17,,,,,285.2,312,241,5.91,,857,352,61,11,No,No,MAC,1,0
Ohio St.,52,30,22,0,1465,504,78,9,75,380,37,11,161,30,15,26,337,326,274,5.69,,1011,441,61,12,No,No,Big Ten,4,1
Oklahoma,52,45,7,0,1337,497,84,15,99,462,54,21,279,34,19,17,315.2,113,97,2.15,,947,281,28,18,Auto,No,Big 12,4,1
Oklahoma St.,52,21,31,0,1317,363,48,10,30,241,107,25,,,,,336.2,266,224,4.66,,1010,512,68,18,No,No,Big 12,4,1
Ole Miss,55,30,25,0,1437,445,62,13,48,303,91,22,,,,,353,270,217,4.3,,1059,473,57,20,No,No,SEC,11,7
Omaha,50,22,28,0,1260,323,50,5,52,221,38,7,143,26,6,23,318.1,227,179,3.94,31,955,427,63,15,No,No,Summit,1,0
Oregon,52,46,6,0,1382,509,86,13,77,400,86,13,226,53,24,24,323,149,113,2.45,,969,299,48,9,Auto,Yes,Pac-12,7,4
Oregon St.,52,26,26,0,1395,416,74,8,46,300,30,10,,,,,327,311,231,4.94,,981,456,74,14,No,No,Pac-12,7,4
Pacific,55,19,36,0,1367,337,56,7,30,177,28,2,,,,,351,278,223,4.45,,1053,574,61,19,No,No,WCC,1,0
Penn,42,22,20,0,1153,333,61,9,22,200,53,11,,,,,279.2,183,129,3.23,,839,319,50,4,No,No,Ivy,1,0
Penn St.,57,29,28,0,1517,448,73,9,46,287,18,7,,,,,366,305,255,4.88,,1098,488,55,24,No,No,Big Ten,4,1
Pittsburgh,55,35,20,0,1517,444,82,3,49,301,31,7,,,,,368.1,233,205,3.9,,1105,567,48,28,At-large,No,ACC,7,2
Portland St.,51,16,35,0,1351,372,56,5,24,217,44,10,,,,,326,298,220,4.72,,978,395,76,13,No,No,Big Sky,1,0
Prairie View,36,9,27,0,905,268,50,4,12,167,75,6,,,,,209.1,289,225,7.52,,628,302,71,6,No,No,SWAC,1,0
Presbyterian,50,25,25,0,1305,372,59,2,37,222,38,16,,,,,324.1,212,175,3.78,,973,334,48,17,No,No,Big South,1,0
