Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Florida A&M,52,23,29,0,1419,360,46,5,20,189,63,11,,,,,357,272,181,3.55,226,141,,1071,401,110,14,No,No,MEAC,1,0
Florida St.,57,47,10,0,1456,430,93,21,59,335,128,13,231,34,15,14,370,90,77,1.46,384,106,,1110,370,34,27,Auto,Yes,ACC,2,1
Fordham,54,33,21,0,1440,394,63,9,59,295,54,3,,,,,351.2,195,141,2.81,217,95,,1055,365,83,7,Auto,No,Atlantic 10,1,0
Fresno St.,54,31,23,0,1346,389,77,17,50,291,41,9,213,71,11,41,348.1,236,195,3.92,270,198,,1045,380,47,31,No,No,MWC,1,0
Furman,56,41,15,0,1428,371,60,10,57,256,84,11,,,,,377,154,124,2.3,404,96,,1131,343,50,13,No,No,Southern,1,0
Ga. Southern,53,28,25,0,1454,395,65,4,48,215,21,7,,,,,351,232,186,3.71,160,170,,1053,427,46,21,No,No,Sun Belt,2,0
Gardner-Webb,58,29,29,0,1498,468,75,17,40,323,115,13,199,50,18,27,364.1,352,273,5.25,138,176,,1093,473,88,9,No,No,Big South,1,0
George Mason,50,22,28,0,1344,338,59,6,20,185,32,10,,,,,334.2,234,166,3.47,227,83,,1004,364,89,7,No,No,Atlantic 10,1,0
George Washington,54,33,21,0,1504,493,90,16,42,331,108,15,149,25,16,22,352.2,228,186,3.69,205,153,,1058,392,57,15,No,No,Atlantic 10,1,0
Georgetown,52,16,36,0,1372,363,44,8,19,173,62,15,,,,,336.1,294,237,4.93,245,183,,1009,288,50,6,No,No,Big East,1,0
Georgia,54,43,11,0,1435,481,70,12,55,326,82,13,147,26,7,40,354.2,107,81,1.6,361,115,,1064,329,47,9,At-large,Yes,SEC,13,9
Georgia St.,55,31,24,0,1542,444,72,6,46,264,34,8,,,,11,379.2,236,205,3.78,192,121,,1139,405,53,16,No,No,Sun Belt,2,0
Georgia Tech,54,28,26,0,1376,312,52,9,54,233,8,5,,,,,368,200,145,2.76,240,114,,1104,326,77,13,No,No,ACC,2,1
Grambling,39,11,28,0,883,217,32,6,7,163,33,6,,,,,218,302,222,7.13,77,104,,654,280,76,10,No,No,SWAC,1,0
Grand Canyon,59,31,28,0,1648,521,96,14,41,318,47,10,,,,,382.2,262,206,3.77,192,164,,1148,592,57,34,No,No,WAC,1,0
Green Bay,46,11,35,0,1168,272,39,10,15,121,18,13,,,,,293.2,250,212,5.05,182,201,,881,362,58,9,No,No,Horizon,1,0
Hampton,52,24,28,0,1330,362,53,15,6,180,117,26,,,,,348,234,175,3.52,160,90,,1044,435,89,22,No,No,MEAC,1,0
Hartford,42,10,32,0,1108,302,47,5,21,147,24,6,,,,,269,313,229,5.96,104,113,15,807,326,72,13,No,No,America East,1,0
Harvard,39,23,16,0,1054,303,56,8,22,194,45,9,,,,,262.1,164,131,3.5,145,125,,786,349,46,16,Auto,No,Ivy,1,0
Hawaii,50,23,27,0,1247,304,37,3,34,173,16,8,,,,,324.2,197,157,3.39,203,96,,974,378,56,14,No,No,MWC,1,0
Hofstra,52,40,12,0,1405,427,79,11,68,324,25,8,207,20,4,40,348,128,114,2.29,298,97,,1044,364,30,17,Auto,No,CAA,2,0
Holy Cross,45,12,33,0,1194,292,49,7,8,142,10,6,,,,,306.1,237,190,4.34,198,161,16,919,375,57,11,No,No,Patriot,1,0
Houston,56,36,20,0,1524,428,54,10,29,253,20,6,,,,,399,145,107,1.88,246,85,,1197,554,59,26,At-large,No,AAC,4,0
Houston Baptist,43,9,34,0,1115,247,43,4,26,123,3,0,,,,,286.1,203,166,4.06,93,121,13,859,307,54,16,No,No,Southland,1,0
Howard,45,8,37,0,1070,250,60,3,9,143,48,20,,,,,263.1,356,239,6.35,158,144,,790,308,110,6,No,No,MEAC,1,0
Idaho St.,47,13,34,0,1193,288,50,3,27,149,46,13,,,,,298,310,243,5.71,189,177,,894,432,80,22,No,No,Big Sky,1,0
Illinois,55,37,18,0,1552,493,83,16,50,350,66,19,142,42,11,30,366.1,229,172,3.29,189,180,,1099,464,79,25,No,No,Big Ten,5,0
Illinois St.,54,21,33,0,1390,318,53,3,16,155,20,7,,,,,359.2,247,204,3.97,205,162,,1079,479,50,16,No,No,MVC,1,0
Incarnate Word,49,15,34,0,1212,265,35,3,21,126,18,2,,,,,314,271,222,4.95,149,110,,942,283,69,8,No,No,Southland,1,0
