Name,G,W,L,T,AB,H,Doubles,Triples,HR,RunsScored,SB,CS,BatterBB,BatterHBP,SacFlies,SacBunts,IP,RunsAllowed,ER,ERA,PitcherK,PitcherBB,PitcherHBP,PO,A,E,DP,NCAA,WCWS,Conference,ConfNumBids,ConfTop16
Robert Morris,46,10,36,0,1157,273,57,5,17,155,19,6,,,,,285.2,294,216,5.29,127,204,,857,380,77,21,No,No,Northeast,1,0
Rutgers,50,19,31,0,1372,354,45,8,32,204,40,10,,,,,337.2,282,237,4.91,138,138,,1013,386,60,35,No,No,Big Ten,5,0
Sacramento St.,49,31,18,0,1320,377,65,7,29,215,40,9,,,,,335.1,169,133,2.78,272,137,,1006,362,44,10,Auto,No,Big Sky,1,0
Sacred Heart,56,31,25,0,1479,359,68,4,33,200,10,5,,,,,379.1,131,105,1.94,417,158,,1137,394,39,9,No,No,Northeast,1,0
Saint Francis (PA),56,39,17,0,1452,392,65,9,83,308,57,10,,,,,368,169,130,2.47,293,111,,1104,360,53,12,Auto,No,Northeast,1,0
Saint Joseph's,49,24,25,0,1327,368,57,8,17,200,39,9,,,,,325,201,149,3.21,177,123,,975,394,69,14,No,No,Atlantic 10,1,0
Saint Louis,57,28,29,0,1486,392,68,6,42,218,32,7,,,,,370,242,197,3.73,250,143,,1110,462,67,14,No,No,Atlantic 10,1,0
Saint Mary's (CA),49,15,34,0,1256,293,48,10,14,143,71,12,,,,,315.2,254,196,4.35,166,122,,947,390,62,7,No,No,WCC,1,0
Saint Peter's,48,7,41,0,1160,281,45,3,16,124,40,12,,,,,290,368,290,7,94,152,,868,408,84,12,No,No,MAAC,1,0
Sam Houston St.,57,24,33,0,1505,385,71,10,27,194,39,12,,,,,379.1,248,210,3.88,294,156,,1138,314,43,8,No,No,Southland,1,0
Samford,57,19,38,0,1485,391,62,8,36,240,64,9,,,,,362.1,333,270,5.22,141,163,,1087,505,85,21,No,No,Southern,1,0
San Diego,52,25,27,0,1385,357,52,8,18,185,60,15,,,,,359,209,170,3.31,220,119,,1077,470,57,21,No,No,WCC,1,0
San Diego St.,51,20,31,0,1342,330,42,3,14,147,51,20,,,,,345,191,158,3.21,180,111,16,1035,453,58,16,No,No,MWC,1,0
San Jose St.,49,32,17,0,1282,362,60,7,40,279,19,6,220,28,15,5,322,200,151,3.28,125,107,13,966,533,54,28,No,No,MWC,1,0
Santa Clara,46,9,37,0,1196,263,43,3,1,107,60,15,,,,,304,259,226,5.2,134,212,,911,312,42,13,No,No,WCC,1,0
Savannah St.,36,14,22,0,943,255,40,8,11,164,61,8,,,,,235,186,145,4.32,123,90,,705,259,68,12,No,No,MEAC,1,0
Seattle U,56,33,23,0,1593,443,64,8,36,268,81,15,,,,,397,220,174,3.07,288,160,,1191,554,58,24,No,No,WAC,1,0
Seton Hall,54,19,35,0,1405,348,67,2,36,193,46,12,,,,,355,318,248,4.89,182,120,,1065,530,91,19,No,No,Big East,1,0
SFA,53,31,22,0,1373,360,63,14,33,228,20,6,,,,,356,180,141,2.77,285,177,,1068,427,60,13,No,No,Southland,1,0
Siena,44,18,26,0,1155,288,62,2,11,137,24,5,,,,,288.2,165,135,3.27,216,160,16,866,424,61,14,No,No,MAAC,1,0
SIUE,46,25,21,0,1146,297,59,8,31,166,64,22,,,,,301,153,138,3.21,277,133,,903,260,30,7,No,No,OVC,1,0
South Alabama,56,29,27,0,1487,378,53,8,32,203,28,10,,,,,380,181,140,2.58,312,140,,1140,372,60,12,No,No,Sun Belt,2,0
South Carolina,59,45,14,0,1475,409,81,10,61,305,40,8,,,,,386.1,132,114,2.07,259,132,,1159,424,33,31,At-large,No,SEC,13,9
South Carolina St.,33,2,31,0,759,133,27,1,2,59,22,3,,,,,201.2,276,196,6.8,45,148,,605,259,71,17,No,No,MEAC,1,0
South Dakota,55,17,38,0,1454,412,78,8,53,243,27,12,,,,,339.2,359,287,5.91,162,167,,1019,380,92,27,No,No,Summit,1,0
South Dakota St.,50,34,16,0,1395,449,87,11,47,331,23,8,169,26,13,25,321.2,214,172,3.74,184,146,11,965,355,43,15,No,No,Summit,1,0
South Fla.,59,38,21,0,1447,419,58,7,44,259,59,15,,,,,389,185,140,2.52,308,110,,1167,444,67,12,At-large,No,AAC,4,0
Southeast Mo. St.,53,33,20,0,1349,362,63,18,37,258,70,17,,,,,346.2,193,162,3.27,260,123,,1040,356,43,18,No,No,OVC,1,0
Southeastern La.,59,38,21,0,1547,438,69,20,21,319,184,35,,,,,395.1,216,169,2.99,196,151,,1183,446,81,19,No,No,Southland,1,0
Southern Ill.,53,31,22,0,1421,381,61,4,47,249,33,10,,,,,362.1,206,155,2.99,272,118,,1087,342,57,14,No,No,MVC,1,0
Southern Miss.,55,19,36,0,1437,379,55,11,18,203,61,16,,,,,368.1,264,207,3.93,192,152,,1105,530,68,15,No,No,C-USA,3,0
Southern U.,40,17,23,0,1023,286,51,5,25,184,86,17,,,,,256.1,217,161,4.4,127,137,13,769,328,86,8,No,No,SWAC,1,0
Southern Utah,47,9,38,0,1139,308,56,9,41,171,25,15,,,,,279.2,361,303,7.58,131,203,,839,342,70,13,No,No,Big Sky,1,0
St. Bonaventure,42,10,32,0,1049,254,54,11,10,134,44,4,,,,,251,284,234,6.53,125,121,,753,250,58,6,No,No,Atlantic 10,1,0
St. John's (NY),50,24,26,0,1393,420,66,4,62,269,53,15,,,,,324.2,260,222,4.79,223,148,,974,357,57,6,No,No,Big East,1,0
Stanford,55,24,31,0,1392,358,50,17,13,202,55,12,,,,,357.2,218,190,3.72,224,146,,1073,369,39,12,No,No,Pac-12,7,5
Stetson,51,26,25,0,1262,346,42,8,29,210,89,12,,,,,326.1,212,159,3.41,156,133,,979,437,57,13,No,No,Atlantic Sun,1,0
Stony Brook,47,25,22,0,1206,316,56,5,24,183,28,6,,,,,308.2,191,144,3.27,183,117,,926,374,50,20,No,No,America East,1,0
Syracuse,50,30,20,0,1327,356,56,21,14,218,58,8,,,,,339,145,114,2.35,390,155,,1017,297,44,10,No,No,ACC,2,1
Tennessee,57,45,12,0,1530,472,66,7,47,330,58,8,209,36,10,18,377.2,166,135,2.5,343,144,,1133,380,55,16,At-large,No,SEC,13,9
Tennessee St.,52,4,48,0,1189,236,43,3,9,103,54,8,,,,,313.2,351,282,6.29,135,153,,941,411,76,13,No,No,OVC,1,0
Tennessee Tech,49,16,33,0,1270,323,63,1,38,186,23,7,,,,,310,281,217,4.9,172,180,,930,399,61,5,No,No,OVC,1,0
Texas,56,32,24,0,1415,381,72,4,25,201,36,15,,,,,373.2,156,133,2.49,305,127,,1121,353,38,11,At-large,No,Big 12,4,1
Texas A&M,56,40,16,0,1423,411,65,7,41,258,47,6,,,,,375.1,135,115,2.14,287,149,,1126,449,38,20,At-large,No,SEC,13,9
Texas Southern,43,24,18,1,1144,337,51,7,18,224,87,8,,,,,283.2,180,132,3.26,200,106,,851,342,58,9,No,No,SWAC,1,0
Texas St.,56,42,14,0,1456,410,62,15,33,234,52,12,,,,,396,120,93,1.64,394,63,,1188,353,48,12,Auto,No,Sun Belt,2,0
Texas Tech,55,29,26,0,1517,447,78,18,48,251,65,27,,,,,373.2,250,204,3.82,219,164,,1121,484,62,22,No,No,Big 12,4,1
Toledo,55,34,21,0,1457,379,73,6,44,252,57,17,,,,,381,189,142,2.61,227,151,,1143,449,75,11,No,No,MAC,1,0
Towson,57,40,17,0,1488,492,98,8,52,364,52,11,174,26,22,34,362.1,218,172,3.32,208,139,,1087,461,62,18,No,No,CAA,2,0
Troy,60,34,26,0,1620,425,73,4,37,258,63,13,,,,,414.1,218,190,3.21,263,195,,1243,365,41,25,No,No,Sun Belt,2,0
Tulsa,56,33,23,0,1463,401,66,15,29,241,45,8,,,,,366.2,173,136,2.6,405,118,,1100,310,44,10,Auto,No,AAC,4,0
UAB,59,26,32,1,1599,419,79,10,34,217,33,21,,,,,396.1,262,185,3.27,274,156,,1189,468,101,17,No,No,C-USA,3,0
UC Davis,51,27,24,0,1348,337,50,5,17,161,28,6,,,,,352.2,137,111,2.2,263,120,,1058,294,44,5,No,No,Big West,2,0
UC Riverside,55,33,22,0,1387,388,59,17,18,237,31,11,,,,,360.1,190,147,2.86,272,168,16,1081,366,54,18,No,No,Big West,2,0
UC Santa Barbara,54,20,34,0,1455,399,59,8,25,206,24,6,,,,,357,333,250,4.9,198,154,,1071,418,97,18,No,No,Big West,2,0
UCF,56,34,22,0,1399,359,51,11,29,205,47,12,,,,,368,179,133,2.53,208,163,,1104,478,63,21,No,No,AAC,4,0
UCLA,54,50,4,0,1437,488,78,14,54,353,40,7,169,22,20,15,353.1,109,88,1.74,375,115,,1060,355,43,16,At-large,Yes,Pac-12,7,5
UConn,55,20,35,0,1379,290,48,0,24,148,23,9,,,,,360.1,207,157,3.05,292,136,,1079,345,67,9,No,No,AAC,4,0
UIC,52,33,19,0,1397,415,62,10,24,245,103,16,,,,,344,181,154,3.13,222,156,,1032,452,47,20,Auto,No,Horizon,1,0
UMass Lowell,49,21,28,0,1299,328,74,5,26,175,14,4,,,,,320.1,206,158,3.45,229,85,,961,321,60,15,No,No,America East,1,0
UMBC,43,12,31,0,1125,283,35,8,15,166,46,8,,,,,280,254,196,4.9,99,92,,840,371,61,6,No,No,America East,1,0
UMES,39,4,35,0,956,207,36,2,4,102,33,11,,,,,231,291,221,6.7,125,119,,693,229,78,13,No,No,MEAC,1,0
UMKC,56,15,41,0,1481,389,52,14,37,228,35,8,,,,,356,375,321,6.31,115,158,,1070,494,77,13,No,No,WAC,1,0
UNC Greensboro,57,46,11,0,1480,414,84,4,58,320,16,3,,,,,388.2,137,112,2.02,333,134,16,1166,450,47,20,Auto,No,Southern,1,0
UNCW,49,20,29,0,1210,290,41,5,20,148,60,26,,,,,319.2,206,158,3.46,228,148,,959,386,53,16,No,No,CAA,2,0
UNI,52,26,26,0,1424,411,61,5,19,213,44,13,,,,,348.1,193,150,3.01,200,125,16,1045,466,54,21,No,No,MVC,1,0
UNLV,49,31,18,0,1306,362,62,6,20,202,30,7,,,,,337,164,137,2.85,228,91,,1011,426,40,24,No,No,MWC,1,0
USC Upstate,54,35,19,0,1385,384,58,9,36,249,106,12,,,,,355.2,149,120,2.36,309,124,,1067,339,40,16,No,No,Atlantic Sun,1,0
UT Arlington,53,27,26,0,1422,365,40,9,32,217,64,10,,,,,366.1,205,172,3.29,88,124,,1099,423,47,30,No,No,Sun Belt,2,0
UT Martin,57,25,32,0,1460,380,57,8,16,183,132,30,,,,,385,203,165,3,136,103,,1155,496,52,30,No,No,OVC,1,0
Utah,50,20,30,0,1271,349,75,8,24,210,20,12,,,,,318,220,174,3.83,318,146,,954,362,66,13,No,No,Pac-12,7,5
Utah St.,52,18,34,0,1398,381,49,13,38,211,79,15,,,,,338.2,277,193,3.99,221,148,,1016,460,97,17,No,No,MWC,1,0
Utah Valley,50,21,29,0,1363,382,60,7,39,229,55,5,,,,,328,302,214,4.57,176,163,,984,438,84,19,No,No,WAC,1,0
UTEP,54,21,33,0,1418,406,70,12,34,229,28,4,,,,,344,316,271,5.51,233,282,,1032,448,58,22,No,No,C-USA,3,0
UTSA,50,20,30,0,1298,298,49,2,39,169,26,7,,,,,334,208,160,3.35,111,75,,1002,379,58,17,No,No,C-USA,3,0
Valparaiso,51,27,24,0,1308,300,45,8,27,165,44,9,,,,,339,172,130,2.68,281,126,,1017,430,64,14,No,No,MVC,1,0
Villanova,53,27,24,2,1389,390,73,9,33,259,54,13,,,,,340,283,242,4.98,144,179,,1020,389,47,13,No,No,Big East,1,0
Virginia,53,12,41,0,1420,375,72,9,52,223,23,6,,,,,333.2,379,308,6.46,160,285,,1001,480,103,23,No,No,ACC,2,1
Virginia Tech,53,23,30,0,1411,340,69,8,35,172,39,10,,,,,355.2,171,119,2.34,316,142,,1067,459,48,16,No,No,ACC,2,1
Wagner,43,15,28,0,1115,277,52,1,18,158,19,6,,,,,274.2,223,175,4.46,148,80,,824,317,52,6,No,No,Northeast,1,0
Washington,52,44,8,0,1399,444,84,12,56,320,63,11,170,31,8,19,340.2,65,56,1.15,411,77,,1022,305,26,11,At-large,Yes,Pac-12,7,5
Weber St.,51,27,24,0,1358,395,62,7,30,258,81,11,,,,,327.2,212,154,3.29,186,110,,983,443,82,26,No,No,Big Sky,1,0
Western Caro.,52,15,37,0,1303,293,55,3,44,174,17,3,,,,,324.2,307,261,5.63,209,181,,974,378,76,15,No,No,Southern,1,0
Western Ill.,48,17,31,0,1269,340,51,11,20,168,15,5,,,,,313.1,223,209,4.67,242,97,,940,288,37,11,No,No,Summit,1,0
Western Ky.,54,28,26,0,1417,394,73,14,40,269,66,15,,,,,362.2,232,189,3.65,237,133,15,1088,452,62,16,No,No,C-USA,3,0
Western Mich.,54,29,25,0,1519,438,76,6,43,242,22,1,,,,,378.2,224,177,3.27,238,162,13,1136,434,61,9,No,No,MAC,1,0
Wichita St.,51,30,21,0,1349,374,64,10,57,252,30,6,,,,,333.2,216,162,3.4,268,170,,1001,400,66,19,At-large,No,AAC,4,0
Winthrop,49,17,32,0,1246,294,51,1,24,141,36,10,,,,,324.1,202,171,3.69,217,99,,973,285,50,13,No,No,Big South,1,0
Wisconsin,49,28,21,0,1224,325,70,3,31,226,75,26,,,,,323.1,171,136,2.94,215,108,,970,420,61,17,At-large,No,Big Ten,5,0
Wright St.,53,21,32,0,1361,314,48,5,17,177,79,18,,,,,354,236,175,3.46,201,130,,1059,435,77,9,No,No,Horizon,1,0
Yale,40,10,30,0,1078,268,41,5,11,105,41,10,,,,,272.2,169,132,3.39,185,93,11,818,331,47,11,No,No,Ivy,1,0
Youngstown St.,51,25,26,0,1358,378,64,10,31,227,49,3,,,,,334,211,167,3.5,250,116,,1002,401,58,14,No,No,Horizon,1,0
